�Microarea;Endereco_Completo
01;Rua Aramuru, São Braz, Nossa Senhora do Socorro - SE
01;Rua Caete, São Braz, Nossa Senhora do Socorro - SE
01;Rua Caxico, São Braz, Nossa Senhora do Socorro - SE
01;Rua Karapato, São Braz, Nossa Senhora do Socorro - SE
01;Rua Pataco, São Braz, Nossa Senhora do Socorro - SE
01;Av. Tomoio, São Braz, Nossa Senhora do Socorro - SE
01;Rua Tapuia, São Braz, Nossa Senhora do Socorro - SE
01;Rua Tupinamba, São Braz, Nossa Senhora do Socorro - SE
01;Rua Xoco Guara, São Braz, Nossa Senhora do Socorro - SE
01;Rua Xingú, São Braz, Nossa Senhora do Socorro - SE
01;Rua Espirito Santo, São Braz, Nossa Senhora do Socorro - SE
01;Av. Florionopolis, São Braz, Nossa Senhora do Socorro - SE
01;Rua Mato Grosso, São Braz, Nossa Senhora do Socorro - SE
01;Travessa Mato Grosso, São Braz, Nossa Senhora do Socorro - SE
01;Rua Santa Catarina, São Braz, Nossa Senhora do Socorro - SE
01;Av. Curitiba, São Braz, Nossa Senhora do Socorro - SE
01;Travessa Curitiba, São Braz, Nossa Senhora do Socorro - SE
01;Av. Eng. Galvão, São Braz, Nossa Senhora do Socorro - SE
02;Rua Parana, São Braz, Nossa Senhora do Socorro - SE
02;Rua Porto Alegre, São Braz, Nossa Senhora do Socorro - SE
02;Rua Rio de Janeiro, São Braz, Nossa Senhora do Socorro - SE
02;Rua São Paulo, São Braz, Nossa Senhora do Socorro - SE
02;Av. Engenheiro Luciano Santana Gaalvão, São Braz, Nossa Senhora do Socorro - SE
02;Rua 05, São Braz, Nossa Senhora do Socorro - SE
02;Travessa 19, São Braz, Nossa Senhora do Socorro - SE
02;Travessa 17, São Braz, Nossa Senhora do Socorro - SE
02;Rua Espirito Santo, São Braz, Nossa Senhora do Socorro - SE
02;Rua Goias, São Braz, Nossa Senhora do Socorro - SE
02;Rua Mato Grosso, São Braz, Nossa Senhora do Socorro - SE
02;Travessa 16, São Braz, Nossa Senhora do Socorro - SE
02;Travessa Maria Freire, São Braz, Nossa Senhora do Socorro - SE
02;Travessa 20, São Braz, Nossa Senhora do Socorro - SE
02;Rua A (Jardim Esperança), São Braz, Nossa Senhora do Socorro - SE
02;Rua B (Jardim Esperança), São Braz, Nossa Senhora do Socorro - SE
03;Rua 09, São Braz, Nossa Senhora do Socorro - SE
03;Rua 03, São Braz, Nossa Senhora do Socorro - SE
03;Rua 02, São Braz, Nossa Senhora do Socorro - SE
03;Rua 01, São Braz, Nossa Senhora do Socorro - SE
03;Rua Distrito Federal, São Braz, Nossa Senhora do Socorro - SE
03;Rua Minas Gerais, São Braz, Nossa Senhora do Socorro - SE
03;Rua Goias, São Braz, Nossa Senhora do Socorro - SE
03;Av. Curitiba, São Braz, Nossa Senhora do Socorro - SE
03;Av. Florionopolis, São Braz, Nossa Senhora do Socorro - SE
03;Rua Mato Grosso, São Braz, Nossa Senhora do Socorro - SE
03;Rua Mato Grosso do Sul, São Braz, Nossa Senhora do Socorro - SE
04;Rua Tapuia, São Braz, Nossa Senhora do Socorro - SE
04;Rua Kariri-Xoco, São Braz, Nossa Senhora do Socorro - SE
04;Rua Novo Acesso, São Braz, Nossa Senhora do Socorro - SE
04;Av. Tupiniquins, São Braz, Nossa Senhora do Socorro - SE
04;Av. Tamoio, São Braz, Nossa Senhora do Socorro - SE
04;Rua Potiguara, São Braz, Nossa Senhora do Socorro - SE
04;Rua 07, São Braz, Nossa Senhora do Socorro - SE
04;Rua 08, São Braz, Nossa Senhora do Socorro - SE
04;Rua 09, São Braz, Nossa Senhora do Socorro - SE
04;Rua 10, São Braz, Nossa Senhora do Socorro - SE
04;Rua 11, São Braz, Nossa Senhora do Socorro - SE
04;Rua 12, São Braz, Nossa Senhora do Socorro - SE
04;Rua 13, São Braz, Nossa Senhora do Socorro - SE
04;Rua 14, São Braz, Nossa Senhora do Socorro - SE
04;Rua 15, São Braz, Nossa Senhora do Socorro - SE
04;Rua Bras, São Braz, Nossa Senhora do Socorro - SE
04;Rua Diego Emerson, São Braz, Nossa Senhora do Socorro - SE
04;Av. Eng. Luciano Galvão, São Braz, Nossa Senhora do Socorro - SE
04;Rua D3, São Braz, Nossa Senhora do Socorro - SE�2Qfile:///c:/Users/drmax/Documents/SECRETARIA/mapeamento/Valter_Rocha%20%281%29.csv
