ubs_referencia,localizacao_ubs,link_map_ubs,Microarea,Endereco_Completo
Vereador Gervasio Reis,"Av. Francisco Ivens de Sá Dias Branco, 186-194 - Marcos Freire I, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/place/UBS+Vereador+Gerv%C3%A1sio+Reis/@-10.8388881,-37.0700445,17z/data=!4m14!1m7!3m6!1s0x7054c5937e6b3d1:0x723c21f7f7582bba!2sUBS+Vereador+Gerv%C3%A1sio+Reis!8m2!3d-10.8388881!4d-37.0674696!16s%2Fg%2F11d_2__1wd!3m5!1s0x7054c5937e6b3d1:0x723c21f7f7582bba!8m2!3d-10.8388881!4d-37.0674696!16s%2Fg%2F11d_2__1wd?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",1,"Rua 15, Marcos Freire, Nossa Senhora do Socorro - SE"
Vereador Gervasio Reis,"Av. Francisco Ivens de Sá Dias Branco, 186-194 - Marcos Freire I, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/place/UBS+Vereador+Gerv%C3%A1sio+Reis/@-10.8388881,-37.0700445,17z/data=!4m14!1m7!3m6!1s0x7054c5937e6b3d1:0x723c21f7f7582bba!2sUBS+Vereador+Gerv%C3%A1sio+Reis!8m2!3d-10.8388881!4d-37.0674696!16s%2Fg%2F11d_2__1wd!3m5!1s0x7054c5937e6b3d1:0x723c21f7f7582bba!8m2!3d-10.8388881!4d-37.0674696!16s%2Fg%2F11d_2__1wd?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",1,"Rua 16, Marcos Freire, Nossa Senhora do Socorro - SE"
Vereador Gervasio Reis,"Av. Francisco Ivens de Sá Dias Branco, 186-194 - Marcos Freire I, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/place/UBS+Vereador+Gerv%C3%A1sio+Reis/@-10.8388881,-37.0700445,17z/data=!4m14!1m7!3m6!1s0x7054c5937e6b3d1:0x723c21f7f7582bba!2sUBS+Vereador+Gerv%C3%A1sio+Reis!8m2!3d-10.8388881!4d-37.0674696!16s%2Fg%2F11d_2__1wd!3m5!1s0x7054c5937e6b3d1:0x723c21f7f7582bba!8m2!3d-10.8388881!4d-37.0674696!16s%2Fg%2F11d_2__1wd?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",1,"Av. Perimetral A, Marcos Freire, Nossa Senhora do Socorro - SE"
Vereador Gervasio Reis,"Av. Francisco Ivens de Sá Dias Branco, 186-194 - Marcos Freire I, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/place/UBS+Vereador+Gerv%C3%A1sio+Reis/@-10.8388881,-37.0700445,17z/data=!4m14!1m7!3m6!1s0x7054c5937e6b3d1:0x723c21f7f7582bba!2sUBS+Vereador+Gerv%C3%A1sio+Reis!8m2!3d-10.8388881!4d-37.0674696!16s%2Fg%2F11d_2__1wd!3m5!1s0x7054c5937e6b3d1:0x723c21f7f7582bba!8m2!3d-10.8388881!4d-37.0674696!16s%2Fg%2F11d_2__1wd?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",1,"Av. A10, Marcos Freire, Nossa Senhora do Socorro - SE"
Vereador Gervasio Reis,"Av. Francisco Ivens de Sá Dias Branco, 186-194 - Marcos Freire I, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/place/UBS+Vereador+Gerv%C3%A1sio+Reis/@-10.8388881,-37.0700445,17z/data=!4m14!1m7!3m6!1s0x7054c5937e6b3d1:0x723c21f7f7582bba!2sUBS+Vereador+Gerv%C3%A1sio+Reis!8m2!3d-10.8388881!4d-37.0674696!16s%2Fg%2F11d_2__1wd!3m5!1s0x7054c5937e6b3d1:0x723c21f7f7582bba!8m2!3d-10.8388881!4d-37.0674696!16s%2Fg%2F11d_2__1wd?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",1,"Av. A8, Marcos Freire, Nossa Senhora do Socorro - SE"
Vereador Gervasio Reis,"Av. Francisco Ivens de Sá Dias Branco, 186-194 - Marcos Freire I, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/place/UBS+Vereador+Gerv%C3%A1sio+Reis/@-10.8388881,-37.0700445,17z/data=!4m14!1m7!3m6!1s0x7054c5937e6b3d1:0x723c21f7f7582bba!2sUBS+Vereador+Gerv%C3%A1sio+Reis!8m2!3d-10.8388881!4d-37.0674696!16s%2Fg%2F11d_2__1wd!3m5!1s0x7054c5937e6b3d1:0x723c21f7f7582bba!8m2!3d-10.8388881!4d-37.0674696!16s%2Fg%2F11d_2__1wd?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",2,"Av. A5, Marcos Freire, Nossa Senhora do Socorro - SE"
Vereador Gervasio Reis,"Av. Francisco Ivens de Sá Dias Branco, 186-194 - Marcos Freire I, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/place/UBS+Vereador+Gerv%C3%A1sio+Reis/@-10.8388881,-37.0700445,17z/data=!4m14!1m7!3m6!1s0x7054c5937e6b3d1:0x723c21f7f7582bba!2sUBS+Vereador+Gerv%C3%A1sio+Reis!8m2!3d-10.8388881!4d-37.0674696!16s%2Fg%2F11d_2__1wd!3m5!1s0x7054c5937e6b3d1:0x723c21f7f7582bba!8m2!3d-10.8388881!4d-37.0674696!16s%2Fg%2F11d_2__1wd?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",2,"Av. Coletora A, Marcos Freire, Nossa Senhora do Socorro - SE"
Vereador Gervasio Reis,"Av. Francisco Ivens de Sá Dias Branco, 186-194 - Marcos Freire I, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/place/UBS+Vereador+Gerv%C3%A1sio+Reis/@-10.8388881,-37.0700445,17z/data=!4m14!1m7!3m6!1s0x7054c5937e6b3d1:0x723c21f7f7582bba!2sUBS+Vereador+Gerv%C3%A1sio+Reis!8m2!3d-10.8388881!4d-37.0674696!16s%2Fg%2F11d_2__1wd!3m5!1s0x7054c5937e6b3d1:0x723c21f7f7582bba!8m2!3d-10.8388881!4d-37.0674696!16s%2Fg%2F11d_2__1wd?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",2,"Av. Perimetral A, Marcos Freire, Nossa Senhora do Socorro - SE"
Vereador Gervasio Reis,"Av. Francisco Ivens de Sá Dias Branco, 186-194 - Marcos Freire I, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/place/UBS+Vereador+Gerv%C3%A1sio+Reis/@-10.8388881,-37.0700445,17z/data=!4m14!1m7!3m6!1s0x7054c5937e6b3d1:0x723c21f7f7582bba!2sUBS+Vereador+Gerv%C3%A1sio+Reis!8m2!3d-10.8388881!4d-37.0674696!16s%2Fg%2F11d_2__1wd!3m5!1s0x7054c5937e6b3d1:0x723c21f7f7582bba!8m2!3d-10.8388881!4d-37.0674696!16s%2Fg%2F11d_2__1wd?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",2,"Av. A11, Marcos Freire, Nossa Senhora do Socorro - SE"
Vereador Gervasio Reis,"Av. Francisco Ivens de Sá Dias Branco, 186-194 - Marcos Freire I, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/place/UBS+Vereador+Gerv%C3%A1sio+Reis/@-10.8388881,-37.0700445,17z/data=!4m14!1m7!3m6!1s0x7054c5937e6b3d1:0x723c21f7f7582bba!2sUBS+Vereador+Gerv%C3%A1sio+Reis!8m2!3d-10.8388881!4d-37.0674696!16s%2Fg%2F11d_2__1wd!3m5!1s0x7054c5937e6b3d1:0x723c21f7f7582bba!8m2!3d-10.8388881!4d-37.0674696!16s%2Fg%2F11d_2__1wd?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",2,"Rua 23, Marcos Freire, Nossa Senhora do Socorro - SE"
Vereador Gervasio Reis,"Av. Francisco Ivens de Sá Dias Branco, 186-194 - Marcos Freire I, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/place/UBS+Vereador+Gerv%C3%A1sio+Reis/@-10.8388881,-37.0700445,17z/data=!4m14!1m7!3m6!1s0x7054c5937e6b3d1:0x723c21f7f7582bba!2sUBS+Vereador+Gerv%C3%A1sio+Reis!8m2!3d-10.8388881!4d-37.0674696!16s%2Fg%2F11d_2__1wd!3m5!1s0x7054c5937e6b3d1:0x723c21f7f7582bba!8m2!3d-10.8388881!4d-37.0674696!16s%2Fg%2F11d_2__1wd?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",3,"Rua 24, Marcos Freire, Nossa Senhora do Socorro - SE"
Vereador Gervasio Reis,"Av. Francisco Ivens de Sá Dias Branco, 186-194 - Marcos Freire I, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/place/UBS+Vereador+Gerv%C3%A1sio+Reis/@-10.8388881,-37.0700445,17z/data=!4m14!1m7!3m6!1s0x7054c5937e6b3d1:0x723c21f7f7582bba!2sUBS+Vereador+Gerv%C3%A1sio+Reis!8m2!3d-10.8388881!4d-37.0674696!16s%2Fg%2F11d_2__1wd!3m5!1s0x7054c5937e6b3d1:0x723c21f7f7582bba!8m2!3d-10.8388881!4d-37.0674696!16s%2Fg%2F11d_2__1wd?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",3,"Rua 25, Marcos Freire, Nossa Senhora do Socorro - SE"
Vereador Gervasio Reis,"Av. Francisco Ivens de Sá Dias Branco, 186-194 - Marcos Freire I, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/place/UBS+Vereador+Gerv%C3%A1sio+Reis/@-10.8388881,-37.0700445,17z/data=!4m14!1m7!3m6!1s0x7054c5937e6b3d1:0x723c21f7f7582bba!2sUBS+Vereador+Gerv%C3%A1sio+Reis!8m2!3d-10.8388881!4d-37.0674696!16s%2Fg%2F11d_2__1wd!3m5!1s0x7054c5937e6b3d1:0x723c21f7f7582bba!8m2!3d-10.8388881!4d-37.0674696!16s%2Fg%2F11d_2__1wd?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",3,"Rua 26, Marcos Freire, Nossa Senhora do Socorro - SE"
Vereador Gervasio Reis,"Av. Francisco Ivens de Sá Dias Branco, 186-194 - Marcos Freire I, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/place/UBS+Vereador+Gerv%C3%A1sio+Reis/@-10.8388881,-37.0700445,17z/data=!4m14!1m7!3m6!1s0x7054c5937e6b3d1:0x723c21f7f7582bba!2sUBS+Vereador+Gerv%C3%A1sio+Reis!8m2!3d-10.8388881!4d-37.0674696!16s%2Fg%2F11d_2__1wd!3m5!1s0x7054c5937e6b3d1:0x723c21f7f7582bba!8m2!3d-10.8388881!4d-37.0674696!16s%2Fg%2F11d_2__1wd?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",3,"Av. A5, Marcos Freire, Nossa Senhora do Socorro - SE"
