ubs_referencia,localizacao_ubs,link_map_ubs,micro_area,endereco_completo
Gilton Rezende,"R. 42 - Parque dos Faróis, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/@-10.9163434,-37.1328674,3a,75y,184.56h,86.91t/data=!3m7!1e1!3m5!1sg3HzgdQFyF2ML35i5Ij6mA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D3.0932414903697634%26panoid%3Dg3HzgdQFyF2ML35i5Ij6mA%26yaw%3D184.56384325763665!7i16384!8i8192!5m1!1e4?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",1,"Rua Aumerindo de Souza, Parque dos Faróis, Nossa Senhora do Socorro - SE"
Gilton Rezende,"R. 42 - Parque dos Faróis, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/@-10.9163434,-37.1328674,3a,75y,184.56h,86.91t/data=!3m7!1e1!3m5!1sg3HzgdQFyF2ML35i5Ij6mA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D3.0932414903697634%26panoid%3Dg3HzgdQFyF2ML35i5Ij6mA%26yaw%3D184.56384325763665!7i16384!8i8192!5m1!1e4?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",1,"Rua 20, Parque dos Faróis, Nossa Senhora do Socorro - SE"
Gilton Rezende,"R. 42 - Parque dos Faróis, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/@-10.9163434,-37.1328674,3a,75y,184.56h,86.91t/data=!3m7!1e1!3m5!1sg3HzgdQFyF2ML35i5Ij6mA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D3.0932414903697634%26panoid%3Dg3HzgdQFyF2ML35i5Ij6mA%26yaw%3D184.56384325763665!7i16384!8i8192!5m1!1e4?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",1,"Rua 21, Parque dos Faróis, Nossa Senhora do Socorro - SE"
Gilton Rezende,"R. 42 - Parque dos Faróis, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/@-10.9163434,-37.1328674,3a,75y,184.56h,86.91t/data=!3m7!1e1!3m5!1sg3HzgdQFyF2ML35i5Ij6mA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D3.0932414903697634%26panoid%3Dg3HzgdQFyF2ML35i5Ij6mA%26yaw%3D184.56384325763665!7i16384!8i8192!5m1!1e4?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",1,"Rua 24, Parque dos Faróis, Nossa Senhora do Socorro - SE"
Gilton Rezende,"R. 42 - Parque dos Faróis, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/@-10.9163434,-37.1328674,3a,75y,184.56h,86.91t/data=!3m7!1e1!3m5!1sg3HzgdQFyF2ML35i5Ij6mA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D3.0932414903697634%26panoid%3Dg3HzgdQFyF2ML35i5Ij6mA%26yaw%3D184.56384325763665!7i16384!8i8192!5m1!1e4?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",1,"Rua Maria da Conceição Pinheiro, Parque dos Faróis, Nossa Senhora do Socorro - SE"
Gilton Rezende,"R. 42 - Parque dos Faróis, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/@-10.9163434,-37.1328674,3a,75y,184.56h,86.91t/data=!3m7!1e1!3m5!1sg3HzgdQFyF2ML35i5Ij6mA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D3.0932414903697634%26panoid%3Dg3HzgdQFyF2ML35i5Ij6mA%26yaw%3D184.56384325763665!7i16384!8i8192!5m1!1e4?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",1,"Rua 30, Parque dos Faróis, Nossa Senhora do Socorro - SE"
Gilton Rezende,"R. 42 - Parque dos Faróis, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/@-10.9163434,-37.1328674,3a,75y,184.56h,86.91t/data=!3m7!1e1!3m5!1sg3HzgdQFyF2ML35i5Ij6mA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D3.0932414903697634%26panoid%3Dg3HzgdQFyF2ML35i5Ij6mA%26yaw%3D184.56384325763665!7i16384!8i8192!5m1!1e4?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",1,"Rua 31, Parque dos Faróis, Nossa Senhora do Socorro - SE"
Gilton Rezende,"R. 42 - Parque dos Faróis, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/@-10.9163434,-37.1328674,3a,75y,184.56h,86.91t/data=!3m7!1e1!3m5!1sg3HzgdQFyF2ML35i5Ij6mA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D3.0932414903697634%26panoid%3Dg3HzgdQFyF2ML35i5Ij6mA%26yaw%3D184.56384325763665!7i16384!8i8192!5m1!1e4?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",1,"Rua A, Parque dos Faróis, Nossa Senhora do Socorro - SE"
Gilton Rezende,"R. 42 - Parque dos Faróis, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/@-10.9163434,-37.1328674,3a,75y,184.56h,86.91t/data=!3m7!1e1!3m5!1sg3HzgdQFyF2ML35i5Ij6mA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D3.0932414903697634%26panoid%3Dg3HzgdQFyF2ML35i5Ij6mA%26yaw%3D184.56384325763665!7i16384!8i8192!5m1!1e4?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",1,"Travessa A, Parque dos Faróis, Nossa Senhora do Socorro - SE"
Gilton Rezende,"R. 42 - Parque dos Faróis, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/@-10.9163434,-37.1328674,3a,75y,184.56h,86.91t/data=!3m7!1e1!3m5!1sg3HzgdQFyF2ML35i5Ij6mA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D3.0932414903697634%26panoid%3Dg3HzgdQFyF2ML35i5Ij6mA%26yaw%3D184.56384325763665!7i16384!8i8192!5m1!1e4?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",1,"Rua Cruzeiro do Sul, Parque dos Faróis, Nossa Senhora do Socorro - SE"
Gilton Rezende,"R. 42 - Parque dos Faróis, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/@-10.9163434,-37.1328674,3a,75y,184.56h,86.91t/data=!3m7!1e1!3m5!1sg3HzgdQFyF2ML35i5Ij6mA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D3.0932414903697634%26panoid%3Dg3HzgdQFyF2ML35i5Ij6mA%26yaw%3D184.56384325763665!7i16384!8i8192!5m1!1e4?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",1,"Rua D, Parque dos Faróis, Nossa Senhora do Socorro - SE"
Gilton Rezende,"R. 42 - Parque dos Faróis, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/@-10.9163434,-37.1328674,3a,75y,184.56h,86.91t/data=!3m7!1e1!3m5!1sg3HzgdQFyF2ML35i5Ij6mA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D3.0932414903697634%26panoid%3Dg3HzgdQFyF2ML35i5Ij6mA%26yaw%3D184.56384325763665!7i16384!8i8192!5m1!1e4?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",1,"Rua E, Parque dos Faróis, Nossa Senhora do Socorro - SE"
Gilton Rezende,"R. 42 - Parque dos Faróis, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/@-10.9163434,-37.1328674,3a,75y,184.56h,86.91t/data=!3m7!1e1!3m5!1sg3HzgdQFyF2ML35i5Ij6mA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D3.0932414903697634%26panoid%3Dg3HzgdQFyF2ML35i5Ij6mA%26yaw%3D184.56384325763665!7i16384!8i8192!5m1!1e4?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",1,"Avenida JS, Parque dos Faróis, Nossa Senhora do Socorro - SE"
Gilton Rezende,"R. 42 - Parque dos Faróis, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/@-10.9163434,-37.1328674,3a,75y,184.56h,86.91t/data=!3m7!1e1!3m5!1sg3HzgdQFyF2ML35i5Ij6mA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D3.0932414903697634%26panoid%3Dg3HzgdQFyF2ML35i5Ij6mA%26yaw%3D184.56384325763665!7i16384!8i8192!5m1!1e4?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",1,"Rua Maria Vicentina dos Santos, Parque dos Faróis, Nossa Senhora do Socorro - SE"
Gilton Rezende,"R. 42 - Parque dos Faróis, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/@-10.9163434,-37.1328674,3a,75y,184.56h,86.91t/data=!3m7!1e1!3m5!1sg3HzgdQFyF2ML35i5Ij6mA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D3.0932414903697634%26panoid%3Dg3HzgdQFyF2ML35i5Ij6mA%26yaw%3D184.56384325763665!7i16384!8i8192!5m1!1e4?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",1,"Avenida Chesf, Parque dos Faróis, Nossa Senhora do Socorro - SE"
Gilton Rezende,"R. 42 - Parque dos Faróis, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/@-10.9163434,-37.1328674,3a,75y,184.56h,86.91t/data=!3m7!1e1!3m5!1sg3HzgdQFyF2ML35i5Ij6mA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D3.0932414903697634%26panoid%3Dg3HzgdQFyF2ML35i5Ij6mA%26yaw%3D184.56384325763665!7i16384!8i8192!5m1!1e4?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",1,"Avenida Prefeito Humberto dos Santos, Parque dos Faróis, Nossa Senhora do Socorro - SE"
Gilton Rezende,"R. 42 - Parque dos Faróis, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/@-10.9163434,-37.1328674,3a,75y,184.56h,86.91t/data=!3m7!1e1!3m5!1sg3HzgdQFyF2ML35i5Ij6mA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D3.0932414903697634%26panoid%3Dg3HzgdQFyF2ML35i5Ij6mA%26yaw%3D184.56384325763665!7i16384!8i8192!5m1!1e4?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",1,"Rua R, Parque dos Faróis, Nossa Senhora do Socorro - SE"
Gilton Rezende,"R. 42 - Parque dos Faróis, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/@-10.9163434,-37.1328674,3a,75y,184.56h,86.91t/data=!3m7!1e1!3m5!1sg3HzgdQFyF2ML35i5Ij6mA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D3.0932414903697634%26panoid%3Dg3HzgdQFyF2ML35i5Ij6mA%26yaw%3D184.56384325763665!7i16384!8i8192!5m1!1e4?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",1,"Avenida Coletora, Parque dos Faróis, Nossa Senhora do Socorro - SE"
Gilton Rezende,"R. 42 - Parque dos Faróis, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/@-10.9163434,-37.1328674,3a,75y,184.56h,86.91t/data=!3m7!1e1!3m5!1sg3HzgdQFyF2ML35i5Ij6mA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D3.0932414903697634%26panoid%3Dg3HzgdQFyF2ML35i5Ij6mA%26yaw%3D184.56384325763665!7i16384!8i8192!5m1!1e4?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",1,"Rua Flor de Flamboyan, Parque dos Faróis, Nossa Senhora do Socorro - SE"
Gilton Rezende,"R. 42 - Parque dos Faróis, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/@-10.9163434,-37.1328674,3a,75y,184.56h,86.91t/data=!3m7!1e1!3m5!1sg3HzgdQFyF2ML35i5Ij6mA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D3.0932414903697634%26panoid%3Dg3HzgdQFyF2ML35i5Ij6mA%26yaw%3D184.56384325763665!7i16384!8i8192!5m1!1e4?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",1,"Rua Flor de Bromélia, Parque dos Faróis, Nossa Senhora do Socorro - SE"
Gilton Rezende,"R. 42 - Parque dos Faróis, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/@-10.9163434,-37.1328674,3a,75y,184.56h,86.91t/data=!3m7!1e1!3m5!1sg3HzgdQFyF2ML35i5Ij6mA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D3.0932414903697634%26panoid%3Dg3HzgdQFyF2ML35i5Ij6mA%26yaw%3D184.56384325763665!7i16384!8i8192!5m1!1e4?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",1,"Rua Flor de Girassol, Parque dos Faróis, Nossa Senhora do Socorro - SE"
Gilton Rezende,"R. 42 - Parque dos Faróis, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/@-10.9163434,-37.1328674,3a,75y,184.56h,86.91t/data=!3m7!1e1!3m5!1sg3HzgdQFyF2ML35i5Ij6mA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D3.0932414903697634%26panoid%3Dg3HzgdQFyF2ML35i5Ij6mA%26yaw%3D184.56384325763665!7i16384!8i8192!5m1!1e4?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",1,"Rua Flor de Eucalipto, Parque dos Faróis, Nossa Senhora do Socorro - SE"
Gilton Rezende,"R. 42 - Parque dos Faróis, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/@-10.9163434,-37.1328674,3a,75y,184.56h,86.91t/data=!3m7!1e1!3m5!1sg3HzgdQFyF2ML35i5Ij6mA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D3.0932414903697634%26panoid%3Dg3HzgdQFyF2ML35i5Ij6mA%26yaw%3D184.56384325763665!7i16384!8i8192!5m1!1e4?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",1,"Rua Flor de Hortência, Parque dos Faróis, Nossa Senhora do Socorro - SE"
