ubs_referencia,localizacao_ubs,link_map_ubs,Microarea,Endereco_Completo
Heitor Dias Soares,"Av. A 38, S/N - Albano Franco, Nossa Sra. do Socorro - SE, 49153-276","https://www.google.com/maps/place/UBS+Heitor+Dias+Soares/@-10.8333811,-37.0663536,17z/data=!4m10!1m2!2m1!1subs+heitor+dias+soares!3m6!1s0x7054c42d3e2903f:0xe85c830499b5c744!8m2!3d-10.8333527!4d-37.0637841!15sChZ1YnMgaGVpdG9yIGRpYXMgc29hcmVzkgEObWVkaWNhbF9jZW50ZXLgAQA!16s%2Fg%2F11dylzhr21?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",1,"Rua 133, Albano Franco, Nossa Senhora do Socorro - SE"
Heitor Dias Soares,"Av. A 38, S/N - Albano Franco, Nossa Sra. do Socorro - SE, 49153-276","https://www.google.com/maps/place/UBS+Heitor+Dias+Soares/@-10.8333811,-37.0663536,17z/data=!4m10!1m2!2m1!1subs+heitor+dias+soares!3m6!1s0x7054c42d3e2903f:0xe85c830499b5c744!8m2!3d-10.8333527!4d-37.0637841!15sChZ1YnMgaGVpdG9yIGRpYXMgc29hcmVzkgEObWVkaWNhbF9jZW50ZXLgAQA!16s%2Fg%2F11dylzhr21?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",1,"Rua 134, Albano Franco, Nossa Senhora do Socorro - SE"
Heitor Dias Soares,"Av. A 38, S/N - Albano Franco, Nossa Sra. do Socorro - SE, 49153-276","https://www.google.com/maps/place/UBS+Heitor+Dias+Soares/@-10.8333811,-37.0663536,17z/data=!4m10!1m2!2m1!1subs+heitor+dias+soares!3m6!1s0x7054c42d3e2903f:0xe85c830499b5c744!8m2!3d-10.8333527!4d-37.0637841!15sChZ1YnMgaGVpdG9yIGRpYXMgc29hcmVzkgEObWVkaWNhbF9jZW50ZXLgAQA!16s%2Fg%2F11dylzhr21?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",1,"Rua 135, Albano Franco, Nossa Senhora do Socorro - SE"
Heitor Dias Soares,"Av. A 38, S/N - Albano Franco, Nossa Sra. do Socorro - SE, 49153-276","https://www.google.com/maps/place/UBS+Heitor+Dias+Soares/@-10.8333811,-37.0663536,17z/data=!4m10!1m2!2m1!1subs+heitor+dias+soares!3m6!1s0x7054c42d3e2903f:0xe85c830499b5c744!8m2!3d-10.8333527!4d-37.0637841!15sChZ1YnMgaGVpdG9yIGRpYXMgc29hcmVzkgEObWVkaWNhbF9jZW50ZXLgAQA!16s%2Fg%2F11dylzhr21?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",1,"Rua 136, Albano Franco, Nossa Senhora do Socorro - SE"
Heitor Dias Soares,"Av. A 38, S/N - Albano Franco, Nossa Sra. do Socorro - SE, 49153-276","https://www.google.com/maps/place/UBS+Heitor+Dias+Soares/@-10.8333811,-37.0663536,17z/data=!4m10!1m2!2m1!1subs+heitor+dias+soares!3m6!1s0x7054c42d3e2903f:0xe85c830499b5c744!8m2!3d-10.8333527!4d-37.0637841!15sChZ1YnMgaGVpdG9yIGRpYXMgc29hcmVzkgEObWVkaWNhbF9jZW50ZXLgAQA!16s%2Fg%2F11dylzhr21?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",1,"Rua 137, Albano Franco, Nossa Senhora do Socorro - SE"
Heitor Dias Soares,"Av. A 38, S/N - Albano Franco, Nossa Sra. do Socorro - SE, 49153-276","https://www.google.com/maps/place/UBS+Heitor+Dias+Soares/@-10.8333811,-37.0663536,17z/data=!4m10!1m2!2m1!1subs+heitor+dias+soares!3m6!1s0x7054c42d3e2903f:0xe85c830499b5c744!8m2!3d-10.8333527!4d-37.0637841!15sChZ1YnMgaGVpdG9yIGRpYXMgc29hcmVzkgEObWVkaWNhbF9jZW50ZXLgAQA!16s%2Fg%2F11dylzhr21?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",1,"Rua 138, Albano Franco, Nossa Senhora do Socorro - SE"
Heitor Dias Soares,"Av. A 38, S/N - Albano Franco, Nossa Sra. do Socorro - SE, 49153-276","https://www.google.com/maps/place/UBS+Heitor+Dias+Soares/@-10.8333811,-37.0663536,17z/data=!4m10!1m2!2m1!1subs+heitor+dias+soares!3m6!1s0x7054c42d3e2903f:0xe85c830499b5c744!8m2!3d-10.8333527!4d-37.0637841!15sChZ1YnMgaGVpdG9yIGRpYXMgc29hcmVzkgEObWVkaWNhbF9jZW50ZXLgAQA!16s%2Fg%2F11dylzhr21?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",1,"Rua 139, Albano Franco, Nossa Senhora do Socorro - SE"
Heitor Dias Soares,"Av. A 38, S/N - Albano Franco, Nossa Sra. do Socorro - SE, 49153-276","https://www.google.com/maps/place/UBS+Heitor+Dias+Soares/@-10.8333811,-37.0663536,17z/data=!4m10!1m2!2m1!1subs+heitor+dias+soares!3m6!1s0x7054c42d3e2903f:0xe85c830499b5c744!8m2!3d-10.8333527!4d-37.0637841!15sChZ1YnMgaGVpdG9yIGRpYXMgc29hcmVzkgEObWVkaWNhbF9jZW50ZXLgAQA!16s%2Fg%2F11dylzhr21?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",1,"Av. Perimetral G, Albano Franco, Nossa Senhora do Socorro - SE"
Heitor Dias Soares,"Av. A 38, S/N - Albano Franco, Nossa Sra. do Socorro - SE, 49153-276","https://www.google.com/maps/place/UBS+Heitor+Dias+Soares/@-10.8333811,-37.0663536,17z/data=!4m10!1m2!2m1!1subs+heitor+dias+soares!3m6!1s0x7054c42d3e2903f:0xe85c830499b5c744!8m2!3d-10.8333527!4d-37.0637841!15sChZ1YnMgaGVpdG9yIGRpYXMgc29hcmVzkgEObWVkaWNhbF9jZW50ZXLgAQA!16s%2Fg%2F11dylzhr21?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",1,"Travessa Maria Altair de Lima, Albano Franco, Nossa Senhora do Socorro - SE"
Heitor Dias Soares,"Av. A 38, S/N - Albano Franco, Nossa Sra. do Socorro - SE, 49153-276","https://www.google.com/maps/place/UBS+Heitor+Dias+Soares/@-10.8333811,-37.0663536,17z/data=!4m10!1m2!2m1!1subs+heitor+dias+soares!3m6!1s0x7054c42d3e2903f:0xe85c830499b5c744!8m2!3d-10.8333527!4d-37.0637841!15sChZ1YnMgaGVpdG9yIGRpYXMgc29hcmVzkgEObWVkaWNhbF9jZW50ZXLgAQA!16s%2Fg%2F11dylzhr21?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",2,"Av. Perimetral F, Albano Franco, Nossa Senhora do Socorro - SE"
Heitor Dias Soares,"Av. A 38, S/N - Albano Franco, Nossa Sra. do Socorro - SE, 49153-276","https://www.google.com/maps/place/UBS+Heitor+Dias+Soares/@-10.8333811,-37.0663536,17z/data=!4m10!1m2!2m1!1subs+heitor+dias+soares!3m6!1s0x7054c42d3e2903f:0xe85c830499b5c744!8m2!3d-10.8333527!4d-37.0637841!15sChZ1YnMgaGVpdG9yIGRpYXMgc29hcmVzkgEObWVkaWNhbF9jZW50ZXLgAQA!16s%2Fg%2F11dylzhr21?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",2,"Rua A 33, Albano Franco, Nossa Senhora do Socorro - SE"
