ubs_referencia,localizacao_ubs,link_map_ubs,Microarea,Endereco_Completo
José de Carvalho Peixoto,"Av. Primavera - Mangabeira, Nossa Sra. do Socorro - SE, 49155-710","https://www.google.com/maps/place/UBS+Jos%C3%A9+de+Carvalho+Peixoto/@-10.8575465,-37.0842211,15.5z/data=!4m14!1m7!3m6!1s0x7054d467b23acfb:0x279d0e8962f139e8!2sUBS+Jos%C3%A9+de+Carvalho+Peixoto!8m2!3d-10.857506!4d-37.075219!16s%2Fg%2F11p776g3dc!3m5!1s0x7054d467b23acfb:0x279d0e8962f139e8!8m2!3d-10.857506!4d-37.075219!16s%2Fg%2F11p776g3dc?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",1,"Rua 01, Mangabeira, Nossa Senhora do Socorro - SE"
José de Carvalho Peixoto,"Av. Primavera - Mangabeira, Nossa Sra. do Socorro - SE, 49155-710","https://www.google.com/maps/place/UBS+Jos%C3%A9+de+Carvalho+Peixoto/@-10.8575465,-37.0842211,15.5z/data=!4m14!1m7!3m6!1s0x7054d467b23acfb:0x279d0e8962f139e8!2sUBS+Jos%C3%A9+de+Carvalho+Peixoto!8m2!3d-10.857506!4d-37.075219!16s%2Fg%2F11p776g3dc!3m5!1s0x7054d467b23acfb:0x279d0e8962f139e8!8m2!3d-10.857506!4d-37.075219!16s%2Fg%2F11p776g3dc?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",1,"Rua 03, Mangabeira, Nossa Senhora do Socorro - SE"
José de Carvalho Peixoto,"Av. Primavera - Mangabeira, Nossa Sra. do Socorro - SE, 49155-710","https://www.google.com/maps/place/UBS+Jos%C3%A9+de+Carvalho+Peixoto/@-10.8575465,-37.0842211,15.5z/data=!4m14!1m7!3m6!1s0x7054d467b23acfb:0x279d0e8962f139e8!2sUBS+Jos%C3%A9+de+Carvalho+Peixoto!8m2!3d-10.857506!4d-37.075219!16s%2Fg%2F11p776g3dc!3m5!1s0x7054d467b23acfb:0x279d0e8962f139e8!8m2!3d-10.857506!4d-37.075219!16s%2Fg%2F11p776g3dc?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",1,"Rua 05, Mangabeira, Nossa Senhora do Socorro - SE"
José de Carvalho Peixoto,"Av. Primavera - Mangabeira, Nossa Sra. do Socorro - SE, 49155-710","https://www.google.com/maps/place/UBS+Jos%C3%A9+de+Carvalho+Peixoto/@-10.8575465,-37.0842211,15.5z/data=!4m14!1m7!3m6!1s0x7054d467b23acfb:0x279d0e8962f139e8!2sUBS+Jos%C3%A9+de+Carvalho+Peixoto!8m2!3d-10.857506!4d-37.075219!16s%2Fg%2F11p776g3dc!3m5!1s0x7054d467b23acfb:0x279d0e8962f139e8!8m2!3d-10.857506!4d-37.075219!16s%2Fg%2F11p776g3dc?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",1,"Rua 07, Mangabeira, Nossa Senhora do Socorro - SE"
José de Carvalho Peixoto,"Av. Primavera - Mangabeira, Nossa Sra. do Socorro - SE, 49155-710","https://www.google.com/maps/place/UBS+Jos%C3%A9+de+Carvalho+Peixoto/@-10.8575465,-37.0842211,15.5z/data=!4m14!1m7!3m6!1s0x7054d467b23acfb:0x279d0e8962f139e8!2sUBS+Jos%C3%A9+de+Carvalho+Peixoto!8m2!3d-10.857506!4d-37.075219!16s%2Fg%2F11p776g3dc!3m5!1s0x7054d467b23acfb:0x279d0e8962f139e8!8m2!3d-10.857506!4d-37.075219!16s%2Fg%2F11p776g3dc?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",1,"Rua 09, Mangabeira, Nossa Senhora do Socorro - SE"
José de Carvalho Peixoto,"Av. Primavera - Mangabeira, Nossa Sra. do Socorro - SE, 49155-710","https://www.google.com/maps/place/UBS+Jos%C3%A9+de+Carvalho+Peixoto/@-10.8575465,-37.0842211,15.5z/data=!4m14!1m7!3m6!1s0x7054d467b23acfb:0x279d0e8962f139e8!2sUBS+Jos%C3%A9+de+Carvalho+Peixoto!8m2!3d-10.857506!4d-37.075219!16s%2Fg%2F11p776g3dc!3m5!1s0x7054d467b23acfb:0x279d0e8962f139e8!8m2!3d-10.857506!4d-37.075219!16s%2Fg%2F11p776g3dc?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",2,"Rua 02, Mangabeira, Nossa Senhora do Socorro - SE"
José de Carvalho Peixoto,"Av. Primavera - Mangabeira, Nossa Sra. do Socorro - SE, 49155-710","https://www.google.com/maps/place/UBS+Jos%C3%A9+de+Carvalho+Peixoto/@-10.8575465,-37.0842211,15.5z/data=!4m14!1m7!3m6!1s0x7054d467b23acfb:0x279d0e8962f139e8!2sUBS+Jos%C3%A9+de+Carvalho+Peixoto!8m2!3d-10.857506!4d-37.075219!16s%2Fg%2F11p776g3dc!3m5!1s0x7054d467b23acfb:0x279d0e8962f139e8!8m2!3d-10.857506!4d-37.075219!16s%2Fg%2F11p776g3dc?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",2,"Rua 04, Mangabeira, Nossa Senhora do Socorro - SE"
José de Carvalho Peixoto,"Av. Primavera - Mangabeira, Nossa Sra. do Socorro - SE, 49155-710","https://www.google.com/maps/place/UBS+Jos%C3%A9+de+Carvalho+Peixoto/@-10.8575465,-37.0842211,15.5z/data=!4m14!1m7!3m6!1s0x7054d467b23acfb:0x279d0e8962f139e8!2sUBS+Jos%C3%A9+de+Carvalho+Peixoto!8m2!3d-10.857506!4d-37.075219!16s%2Fg%2F11p776g3dc!3m5!1s0x7054d467b23acfb:0x279d0e8962f139e8!8m2!3d-10.857506!4d-37.075219!16s%2Fg%2F11p776g3dc?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",2,"Rua 06, Mangabeira, Nossa Senhora do Socorro - SE"
José de Carvalho Peixoto,"Av. Primavera - Mangabeira, Nossa Sra. do Socorro - SE, 49155-710","https://www.google.com/maps/place/UBS+Jos%C3%A9+de+Carvalho+Peixoto/@-10.8575465,-37.0842211,15.5z/data=!4m14!1m7!3m6!1s0x7054d467b23acfb:0x279d0e8962f139e8!2sUBS+Jos%C3%A9+de+Carvalho+Peixoto!8m2!3d-10.857506!4d-37.075219!16s%2Fg%2F11p776g3dc!3m5!1s0x7054d467b23acfb:0x279d0e8962f139e8!8m2!3d-10.857506!4d-37.075219!16s%2Fg%2F11p776g3dc?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",2,"Rua 08, Mangabeira, Nossa Senhora do Socorro - SE"
José de Carvalho Peixoto,"Av. Primavera - Mangabeira, Nossa Sra. do Socorro - SE, 49155-710","https://www.google.com/maps/place/UBS+Jos%C3%A9+de+Carvalho+Peixoto/@-10.8575465,-37.0842211,15.5z/data=!4m14!1m7!3m6!1s0x7054d467b23acfb:0x279d0e8962f139e8!2sUBS+Jos%C3%A9+de+Carvalho+Peixoto!8m2!3d-10.857506!4d-37.075219!16s%2Fg%2F11p776g3dc!3m5!1s0x7054d467b23acfb:0x279d0e8962f139e8!8m2!3d-10.857506!4d-37.075219!16s%2Fg%2F11p776g3dc?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",2,"Rua 10, Mangabeira, Nossa Senhora do Socorro - SE"
