ubs_referencia,localizacao_ubs,link_map_ubs,micro_area,endereco_completo
UBS José do Prado Franco Neto,"R. do Jardim - Oiteiro, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/place/UBS+Jos%C3%A9+do+Prado+Franco+Neto/@-10.8705767,-37.1657455,3a,21.4y,34.56h,88.38t/data=!3m7!1e1!3m5!1s5AiW8IJx7b_ekxob383pkw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D1.6195941844322874%26panoid%3D5AiW8IJx7b_ekxob383pkw%26yaw%3D34.564470457086976!7i16384!8i8192!4m14!1m7!3m6!1s0x71aad2bb5b085eb:0xf1685d1d71349591!2sUBS+Jos%C3%A9+do+Prado+Franco+Neto!8m2!3d-10.8704951!4d-37.1656546!16s%2Fg%2F11vf1qhj49!3m5!1s0x71aad2bb5b085eb:0xf1685d1d71349591!8m2!3d-10.8704951!4d-37.1656546!16s%2Fg%2F11vf1qhj49?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",1,"Rua do Jardim, Povoado Oiteiros, Nossa Senhora do Socorro/SE"
UBS José do Prado Franco Neto,"R. do Jardim - Oiteiro, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/place/UBS+Jos%C3%A9+do+Prado+Franco+Neto/@-10.8705767,-37.1657455,3a,21.4y,34.56h,88.38t/data=!3m7!1e1!3m5!1s5AiW8IJx7b_ekxob383pkw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D1.6195941844322874%26panoid%3D5AiW8IJx7b_ekxob383pkw%26yaw%3D34.564470457086976!7i16384!8i8192!4m14!1m7!3m6!1s0x71aad2bb5b085eb:0xf1685d1d71349591!2sUBS+Jos%C3%A9+do+Prado+Franco+Neto!8m2!3d-10.8704951!4d-37.1656546!16s%2Fg%2F11vf1qhj49!3m5!1s0x71aad2bb5b085eb:0xf1685d1d71349591!8m2!3d-10.8704951!4d-37.1656546!16s%2Fg%2F11vf1qhj49?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",1,"Rua Anita Leite Farias, Povoado Oiteiros, Nossa Senhora do Socorro/SE"
UBS José do Prado Franco Neto,"R. do Jardim - Oiteiro, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/place/UBS+Jos%C3%A9+do+Prado+Franco+Neto/@-10.8705767,-37.1657455,3a,21.4y,34.56h,88.38t/data=!3m7!1e1!3m5!1s5AiW8IJx7b_ekxob383pkw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D1.6195941844322874%26panoid%3D5AiW8IJx7b_ekxob383pkw%26yaw%3D34.564470457086976!7i16384!8i8192!4m14!1m7!3m6!1s0x71aad2bb5b085eb:0xf1685d1d71349591!2sUBS+Jos%C3%A9+do+Prado+Franco+Neto!8m2!3d-10.8704951!4d-37.1656546!16s%2Fg%2F11vf1qhj49!3m5!1s0x71aad2bb5b085eb:0xf1685d1d71349591!8m2!3d-10.8704951!4d-37.1656546!16s%2Fg%2F11vf1qhj49?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",1,"Rua Zeca Danga, Povoado Oiteiros, Nossa Senhora do Socorro/SE"
UBS José do Prado Franco Neto,"R. do Jardim - Oiteiro, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/place/UBS+Jos%C3%A9+do+Prado+Franco+Neto/@-10.8705767,-37.1657455,3a,21.4y,34.56h,88.38t/data=!3m7!1e1!3m5!1s5AiW8IJx7b_ekxob383pkw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D1.6195941844322874%26panoid%3D5AiW8IJx7b_ekxob383pkw%26yaw%3D34.564470457086976!7i16384!8i8192!4m14!1m7!3m6!1s0x71aad2bb5b085eb:0xf1685d1d71349591!2sUBS+Jos%C3%A9+do+Prado+Franco+Neto!8m2!3d-10.8704951!4d-37.1656546!16s%2Fg%2F11vf1qhj49!3m5!1s0x71aad2bb5b085eb:0xf1685d1d71349591!8m2!3d-10.8704951!4d-37.1656546!16s%2Fg%2F11vf1qhj49?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",1,"Rua do Maxixe, Povoado Oiteiros, Nossa Senhora do Socorro/SE"
UBS José do Prado Franco Neto,"R. do Jardim - Oiteiro, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/place/UBS+Jos%C3%A9+do+Prado+Franco+Neto/@-10.8705767,-37.1657455,3a,21.4y,34.56h,88.38t/data=!3m7!1e1!3m5!1s5AiW8IJx7b_ekxob383pkw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D1.6195941844322874%26panoid%3D5AiW8IJx7b_ekxob383pkw%26yaw%3D34.564470457086976!7i16384!8i8192!4m14!1m7!3m6!1s0x71aad2bb5b085eb:0xf1685d1d71349591!2sUBS+Jos%C3%A9+do+Prado+Franco+Neto!8m2!3d-10.8704951!4d-37.1656546!16s%2Fg%2F11vf1qhj49!3m5!1s0x71aad2bb5b085eb:0xf1685d1d71349591!8m2!3d-10.8704951!4d-37.1656546!16s%2Fg%2F11vf1qhj49?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",1,"Fazenda Candeias, Povoado Oiteiros, Nossa Senhora do Socorro/SE"
UBS José do Prado Franco Neto,"R. do Jardim - Oiteiro, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/place/UBS+Jos%C3%A9+do+Prado+Franco+Neto/@-10.8705767,-37.1657455,3a,21.4y,34.56h,88.38t/data=!3m7!1e1!3m5!1s5AiW8IJx7b_ekxob383pkw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D1.6195941844322874%26panoid%3D5AiW8IJx7b_ekxob383pkw%26yaw%3D34.564470457086976!7i16384!8i8192!4m14!1m7!3m6!1s0x71aad2bb5b085eb:0xf1685d1d71349591!2sUBS+Jos%C3%A9+do+Prado+Franco+Neto!8m2!3d-10.8704951!4d-37.1656546!16s%2Fg%2F11vf1qhj49!3m5!1s0x71aad2bb5b085eb:0xf1685d1d71349591!8m2!3d-10.8704951!4d-37.1656546!16s%2Fg%2F11vf1qhj49?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",1,"Fazenda Mucuri, Povoado Oiteiros, Nossa Senhora do Socorro/SE"
UBS José do Prado Franco Neto,"R. do Jardim - Oiteiro, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/place/UBS+Jos%C3%A9+do+Prado+Franco+Neto/@-10.8705767,-37.1657455,3a,21.4y,34.56h,88.38t/data=!3m7!1e1!3m5!1s5AiW8IJx7b_ekxob383pkw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D1.6195941844322874%26panoid%3D5AiW8IJx7b_ekxob383pkw%26yaw%3D34.564470457086976!7i16384!8i8192!4m14!1m7!3m6!1s0x71aad2bb5b085eb:0xf1685d1d71349591!2sUBS+Jos%C3%A9+do+Prado+Franco+Neto!8m2!3d-10.8704951!4d-37.1656546!16s%2Fg%2F11vf1qhj49!3m5!1s0x71aad2bb5b085eb:0xf1685d1d71349591!8m2!3d-10.8704951!4d-37.1656546!16s%2Fg%2F11vf1qhj49?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",2,"Rua da BR, Povoado Oiteiros, Nossa Senhora do Socorro/SE"
UBS José do Prado Franco Neto,"R. do Jardim - Oiteiro, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/place/UBS+Jos%C3%A9+do+Prado+Franco+Neto/@-10.8705767,-37.1657455,3a,21.4y,34.56h,88.38t/data=!3m7!1e1!3m5!1s5AiW8IJx7b_ekxob383pkw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D1.6195941844322874%26panoid%3D5AiW8IJx7b_ekxob383pkw%26yaw%3D34.564470457086976!7i16384!8i8192!4m14!1m7!3m6!1s0x71aad2bb5b085eb:0xf1685d1d71349591!2sUBS+Jos%C3%A9+do+Prado+Franco+Neto!8m2!3d-10.8704951!4d-37.1656546!16s%2Fg%2F11vf1qhj49!3m5!1s0x71aad2bb5b085eb:0xf1685d1d71349591!8m2!3d-10.8704951!4d-37.1656546!16s%2Fg%2F11vf1qhj49?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",2,"Rua da Igreja, Povoado Oiteiros, Nossa Senhora do Socorro/SE"
UBS José do Prado Franco Neto,"R. do Jardim - Oiteiro, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/place/UBS+Jos%C3%A9+do+Prado+Franco+Neto/@-10.8705767,-37.1657455,3a,21.4y,34.56h,88.38t/data=!3m7!1e1!3m5!1s5AiW8IJx7b_ekxob383pkw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D1.6195941844322874%26panoid%3D5AiW8IJx7b_ekxob383pkw%26yaw%3D34.564470457086976!7i16384!8i8192!4m14!1m7!3m6!1s0x71aad2bb5b085eb:0xf1685d1d71349591!2sUBS+Jos%C3%A9+do+Prado+Franco+Neto!8m2!3d-10.8704951!4d-37.1656546!16s%2Fg%2F11vf1qhj49!3m5!1s0x71aad2bb5b085eb:0xf1685d1d71349591!8m2!3d-10.8704951!4d-37.1656546!16s%2Fg%2F11vf1qhj49?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",2,"Rua da Caixa d'água, Povoado Oiteiros, Nossa Senhora do Socorro/SE"
UBS José do Prado Franco Neto,"R. do Jardim - Oiteiro, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/place/UBS+Jos%C3%A9+do+Prado+Franco+Neto/@-10.8705767,-37.1657455,3a,21.4y,34.56h,88.38t/data=!3m7!1e1!3m5!1s5AiW8IJx7b_ekxob383pkw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D1.6195941844322874%26panoid%3D5AiW8IJx7b_ekxob383pkw%26yaw%3D34.564470457086976!7i16384!8i8192!4m14!1m7!3m6!1s0x71aad2bb5b085eb:0xf1685d1d71349591!2sUBS+Jos%C3%A9+do+Prado+Franco+Neto!8m2!3d-10.8704951!4d-37.1656546!16s%2Fg%2F11vf1qhj49!3m5!1s0x71aad2bb5b085eb:0xf1685d1d71349591!8m2!3d-10.8704951!4d-37.1656546!16s%2Fg%2F11vf1qhj49?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",2,"Rua Largo do Cruzeiro, Povoado Oiteiros, Nossa Senhora do Socorro/SE"
