ubs_referencia,localizacao_ubs,link_map_ubs,Microarea,Endereco_Completo
Luaro Maia ,"4V2M+Q3 Sobrado, Nossa Sra. do Socorro - SE","https://www.google.com/maps/place/US+Dr+Lauro+Maia/@-10.8980145,-37.1199222,17z/data=!4m14!1m7!3m6!1s0x71ab29a49066921:0x83de4572cb8568cf!2sUS+Dr+Lauro+Maia!8m2!3d-10.8980198!4d-37.1173473!16s%2Fg%2F11kn6qkl25!3m5!1s0x71ab29a49066921:0x83de4572cb8568cf!8m2!3d-10.8980198!4d-37.1173473!16s%2Fg%2F11kn6qkl25?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",1,"Avenida Luiz Pereira da Silva, Sobrado, Nossa Senhora do Socorro - SE"
Luaro Maia ,"4V2M+Q3 Sobrado, Nossa Sra. do Socorro - SE","https://www.google.com/maps/place/US+Dr+Lauro+Maia/@-10.8980145,-37.1199222,17z/data=!4m14!1m7!3m6!1s0x71ab29a49066921:0x83de4572cb8568cf!2sUS+Dr+Lauro+Maia!8m2!3d-10.8980198!4d-37.1173473!16s%2Fg%2F11kn6qkl25!3m5!1s0x71ab29a49066921:0x83de4572cb8568cf!8m2!3d-10.8980198!4d-37.1173473!16s%2Fg%2F11kn6qkl25?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",1,"Rua da mangueira, Sobrado, Nossa Senhora do Socorro - SE"
Luaro Maia ,"4V2M+Q3 Sobrado, Nossa Sra. do Socorro - SE","https://www.google.com/maps/place/US+Dr+Lauro+Maia/@-10.8980145,-37.1199222,17z/data=!4m14!1m7!3m6!1s0x71ab29a49066921:0x83de4572cb8568cf!2sUS+Dr+Lauro+Maia!8m2!3d-10.8980198!4d-37.1173473!16s%2Fg%2F11kn6qkl25!3m5!1s0x71ab29a49066921:0x83de4572cb8568cf!8m2!3d-10.8980198!4d-37.1173473!16s%2Fg%2F11kn6qkl25?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",1,"Rua Valda Vieira Lima, Sobrado, Nossa Senhora do Socorro - SE"
Luaro Maia ,"4V2M+Q3 Sobrado, Nossa Sra. do Socorro - SE","https://www.google.com/maps/place/US+Dr+Lauro+Maia/@-10.8980145,-37.1199222,17z/data=!4m14!1m7!3m6!1s0x71ab29a49066921:0x83de4572cb8568cf!2sUS+Dr+Lauro+Maia!8m2!3d-10.8980198!4d-37.1173473!16s%2Fg%2F11kn6qkl25!3m5!1s0x71ab29a49066921:0x83de4572cb8568cf!8m2!3d-10.8980198!4d-37.1173473!16s%2Fg%2F11kn6qkl25?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",1,"Rua Joao Cesário dos Santos, Sobrado, Nossa Senhora do Socorro - SE"
Luaro Maia ,"4V2M+Q3 Sobrado, Nossa Sra. do Socorro - SE","https://www.google.com/maps/place/US+Dr+Lauro+Maia/@-10.8980145,-37.1199222,17z/data=!4m14!1m7!3m6!1s0x71ab29a49066921:0x83de4572cb8568cf!2sUS+Dr+Lauro+Maia!8m2!3d-10.8980198!4d-37.1173473!16s%2Fg%2F11kn6qkl25!3m5!1s0x71ab29a49066921:0x83de4572cb8568cf!8m2!3d-10.8980198!4d-37.1173473!16s%2Fg%2F11kn6qkl25?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",1,"Rua Pedro Oliveira, Sobrado, Nossa Senhora do Socorro - SE"
Luaro Maia ,"4V2M+Q3 Sobrado, Nossa Sra. do Socorro - SE","https://www.google.com/maps/place/US+Dr+Lauro+Maia/@-10.8980145,-37.1199222,17z/data=!4m14!1m7!3m6!1s0x71ab29a49066921:0x83de4572cb8568cf!2sUS+Dr+Lauro+Maia!8m2!3d-10.8980198!4d-37.1173473!16s%2Fg%2F11kn6qkl25!3m5!1s0x71ab29a49066921:0x83de4572cb8568cf!8m2!3d-10.8980198!4d-37.1173473!16s%2Fg%2F11kn6qkl25?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",1,"Rua Jasiel dos Santos, Sobrado, Nossa Senhora do Socorro - SE"
Luaro Maia ,"4V2M+Q3 Sobrado, Nossa Sra. do Socorro - SE","https://www.google.com/maps/place/US+Dr+Lauro+Maia/@-10.8980145,-37.1199222,17z/data=!4m14!1m7!3m6!1s0x71ab29a49066921:0x83de4572cb8568cf!2sUS+Dr+Lauro+Maia!8m2!3d-10.8980198!4d-37.1173473!16s%2Fg%2F11kn6qkl25!3m5!1s0x71ab29a49066921:0x83de4572cb8568cf!8m2!3d-10.8980198!4d-37.1173473!16s%2Fg%2F11kn6qkl25?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",1,"Rua Carlos Vasconcelos, Sobrado, Nossa Senhora do Socorro - SE"
Luaro Maia ,"4V2M+Q3 Sobrado, Nossa Sra. do Socorro - SE","https://www.google.com/maps/place/US+Dr+Lauro+Maia/@-10.8980145,-37.1199222,17z/data=!4m14!1m7!3m6!1s0x71ab29a49066921:0x83de4572cb8568cf!2sUS+Dr+Lauro+Maia!8m2!3d-10.8980198!4d-37.1173473!16s%2Fg%2F11kn6qkl25!3m5!1s0x71ab29a49066921:0x83de4572cb8568cf!8m2!3d-10.8980198!4d-37.1173473!16s%2Fg%2F11kn6qkl25?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",1,"Rua 1 Lot. Itacanema, Sobrado, Nossa Senhora do Socorro - SE"
Luaro Maia ,"4V2M+Q3 Sobrado, Nossa Sra. do Socorro - SE","https://www.google.com/maps/place/US+Dr+Lauro+Maia/@-10.8980145,-37.1199222,17z/data=!4m14!1m7!3m6!1s0x71ab29a49066921:0x83de4572cb8568cf!2sUS+Dr+Lauro+Maia!8m2!3d-10.8980198!4d-37.1173473!16s%2Fg%2F11kn6qkl25!3m5!1s0x71ab29a49066921:0x83de4572cb8568cf!8m2!3d-10.8980198!4d-37.1173473!16s%2Fg%2F11kn6qkl25?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",1,"Rua 2 Lot. Itacanema, Sobrado, Nossa Senhora do Socorro - SE"
Luaro Maia ,"4V2M+Q3 Sobrado, Nossa Sra. do Socorro - SE","https://www.google.com/maps/place/US+Dr+Lauro+Maia/@-10.8980145,-37.1199222,17z/data=!4m14!1m7!3m6!1s0x71ab29a49066921:0x83de4572cb8568cf!2sUS+Dr+Lauro+Maia!8m2!3d-10.8980198!4d-37.1173473!16s%2Fg%2F11kn6qkl25!3m5!1s0x71ab29a49066921:0x83de4572cb8568cf!8m2!3d-10.8980198!4d-37.1173473!16s%2Fg%2F11kn6qkl25?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",1,"Rua 3 Lot. Itacanema, Sobrado, Nossa Senhora do Socorro - SE"
