ubs_referencia,localizacao_ubs,link_map_ubs,Micro Area,Endereco_Completo
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Rua 2 de Fevereiro, Guajará, Nossa Senhora do Socorro - SE"
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Rua 3 de Fevereiro, Guajará, Nossa Senhora do Socorro - SE"
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Rua 12 de Fevereiro, Guajará, Nossa Senhora do Socorro - SE"
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Rua 11 de Fevereiro, Guajará, Nossa Senhora do Socorro - SE"
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Rua 13 de Fevereiro, Guajará, Nossa Senhora do Socorro - SE"
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Rua 10 de Fevereiro, Guajará, Nossa Senhora do Socorro - SE"
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Travessa Quissamã, Guajará, Nossa Senhora do Socorro - SE"
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Rua Nossa Senhora de Fátima, Guajará, Nossa Senhora do Socorro - SE"
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Rua 1 de Fevereiro, Guajará, Nossa Senhora do Socorro - SE"
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Rua das Orquídeas, Guajará, Nossa Senhora do Socorro - SE"
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Avenida Chesf 01, Guajará, Nossa Senhora do Socorro - SE"
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Rua A1, Guajará, Nossa Senhora do Socorro - SE"
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Rua BC, Guajará, Nossa Senhora do Socorro - SE"
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Rua D, Guajará, Nossa Senhora do Socorro - SE"
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Rua E, Guajará, Nossa Senhora do Socorro - SE"
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Rua M, Guajará, Nossa Senhora do Socorro - SE"
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Rua P, Guajará, Nossa Senhora do Socorro - SE"
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Vila Ney, Guajará, Nossa Senhora do Socorro - SE"
