ubs_referencia,localizacao_ubs,link_map_ubs,Microarea,Endereco_Completo
Mugival Messias Santos,"Av. São Marcos Evangelista, S/N - Marcos Freire I, Nossa Sra. do Socorro - SE, 49156-026","https://www.google.com/maps/place/CEO+Mugival+Messias+Santos+Centro+De+Especialidades+Odontol%C3%B3gicas/@-10.8479809,-37.0666812,3a,90y,142.83h,87.61t/data=!3m7!1e1!3m5!1sDYIG7msXI-hUjwgXvGiiPQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D2.3882275880117447%26panoid%3DDYIG7msXI-hUjwgXvGiiPQ%26yaw%3D142.83447927630476!7i16384!8i8192!4m10!1m2!2m1!1sAv.+A+Cinco,+s%2Fn,+Nossa+Sra.+do+Socorro!3m6!1s0x7054cf3e3ad3229:0x4b7afae53fa19112!8m2!3d-10.848113!4d-37.0666088!15sCidBdi4gQSBDaW5jbywgcy9uLCBOb3NzYSBTcmEuIGRvIFNvY29ycm-SAQhob3NwaXRhbOABAA!16s%2Fg%2F11f4qm68pq?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",1,"Rua 09, Marcos Freire, Nossa Senhora do Socorro - SE"
Mugival Messias Santos,"Av. São Marcos Evangelista, S/N - Marcos Freire I, Nossa Sra. do Socorro - SE, 49156-026","https://www.google.com/maps/place/CEO+Mugival+Messias+Santos+Centro+De+Especialidades+Odontol%C3%B3gicas/@-10.8479809,-37.0666812,3a,90y,142.83h,87.61t/data=!3m7!1e1!3m5!1sDYIG7msXI-hUjwgXvGiiPQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D2.3882275880117447%26panoid%3DDYIG7msXI-hUjwgXvGiiPQ%26yaw%3D142.83447927630476!7i16384!8i8192!4m10!1m2!2m1!1sAv.+A+Cinco,+s%2Fn,+Nossa+Sra.+do+Socorro!3m6!1s0x7054cf3e3ad3229:0x4b7afae53fa19112!8m2!3d-10.848113!4d-37.0666088!15sCidBdi4gQSBDaW5jbywgcy9uLCBOb3NzYSBTcmEuIGRvIFNvY29ycm-SAQhob3NwaXRhbOABAA!16s%2Fg%2F11f4qm68pq?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",1,"Rua 10, Marcos Freire, Nossa Senhora do Socorro - SE"
Mugival Messias Santos,"Av. São Marcos Evangelista, S/N - Marcos Freire I, Nossa Sra. do Socorro - SE, 49156-026","https://www.google.com/maps/place/CEO+Mugival+Messias+Santos+Centro+De+Especialidades+Odontol%C3%B3gicas/@-10.8479809,-37.0666812,3a,90y,142.83h,87.61t/data=!3m7!1e1!3m5!1sDYIG7msXI-hUjwgXvGiiPQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D2.3882275880117447%26panoid%3DDYIG7msXI-hUjwgXvGiiPQ%26yaw%3D142.83447927630476!7i16384!8i8192!4m10!1m2!2m1!1sAv.+A+Cinco,+s%2Fn,+Nossa+Sra.+do+Socorro!3m6!1s0x7054cf3e3ad3229:0x4b7afae53fa19112!8m2!3d-10.848113!4d-37.0666088!15sCidBdi4gQSBDaW5jbywgcy9uLCBOb3NzYSBTcmEuIGRvIFNvY29ycm-SAQhob3NwaXRhbOABAA!16s%2Fg%2F11f4qm68pq?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",1,"Rua A05, Marcos Freire, Nossa Senhora do Socorro - SE"
Mugival Messias Santos,"Av. São Marcos Evangelista, S/N - Marcos Freire I, Nossa Sra. do Socorro - SE, 49156-026","https://www.google.com/maps/place/CEO+Mugival+Messias+Santos+Centro+De+Especialidades+Odontol%C3%B3gicas/@-10.8479809,-37.0666812,3a,90y,142.83h,87.61t/data=!3m7!1e1!3m5!1sDYIG7msXI-hUjwgXvGiiPQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D2.3882275880117447%26panoid%3DDYIG7msXI-hUjwgXvGiiPQ%26yaw%3D142.83447927630476!7i16384!8i8192!4m10!1m2!2m1!1sAv.+A+Cinco,+s%2Fn,+Nossa+Sra.+do+Socorro!3m6!1s0x7054cf3e3ad3229:0x4b7afae53fa19112!8m2!3d-10.848113!4d-37.0666088!15sCidBdi4gQSBDaW5jbywgcy9uLCBOb3NzYSBTcmEuIGRvIFNvY29ycm-SAQhob3NwaXRhbOABAA!16s%2Fg%2F11f4qm68pq?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",1,"Rua A6, Marcos Freire, Nossa Senhora do Socorro - SE"
Mugival Messias Santos,"Av. São Marcos Evangelista, S/N - Marcos Freire I, Nossa Sra. do Socorro - SE, 49156-026","https://www.google.com/maps/place/CEO+Mugival+Messias+Santos+Centro+De+Especialidades+Odontol%C3%B3gicas/@-10.8479809,-37.0666812,3a,90y,142.83h,87.61t/data=!3m7!1e1!3m5!1sDYIG7msXI-hUjwgXvGiiPQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D2.3882275880117447%26panoid%3DDYIG7msXI-hUjwgXvGiiPQ%26yaw%3D142.83447927630476!7i16384!8i8192!4m10!1m2!2m1!1sAv.+A+Cinco,+s%2Fn,+Nossa+Sra.+do+Socorro!3m6!1s0x7054cf3e3ad3229:0x4b7afae53fa19112!8m2!3d-10.848113!4d-37.0666088!15sCidBdi4gQSBDaW5jbywgcy9uLCBOb3NzYSBTcmEuIGRvIFNvY29ycm-SAQhob3NwaXRhbOABAA!16s%2Fg%2F11f4qm68pq?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",1,"Travessa 2, Marcos Freire, Nossa Senhora do Socorro - SE"
Mugival Messias Santos,"Av. São Marcos Evangelista, S/N - Marcos Freire I, Nossa Sra. do Socorro - SE, 49156-026","https://www.google.com/maps/place/CEO+Mugival+Messias+Santos+Centro+De+Especialidades+Odontol%C3%B3gicas/@-10.8479809,-37.0666812,3a,90y,142.83h,87.61t/data=!3m7!1e1!3m5!1sDYIG7msXI-hUjwgXvGiiPQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D2.3882275880117447%26panoid%3DDYIG7msXI-hUjwgXvGiiPQ%26yaw%3D142.83447927630476!7i16384!8i8192!4m10!1m2!2m1!1sAv.+A+Cinco,+s%2Fn,+Nossa+Sra.+do+Socorro!3m6!1s0x7054cf3e3ad3229:0x4b7afae53fa19112!8m2!3d-10.848113!4d-37.0666088!15sCidBdi4gQSBDaW5jbywgcy9uLCBOb3NzYSBTcmEuIGRvIFNvY29ycm-SAQhob3NwaXRhbOABAA!16s%2Fg%2F11f4qm68pq?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",1,"Avenida Perimetral A, Marcos Freire, Nossa Senhora do Socorro - SE"
Mugival Messias Santos,"Av. São Marcos Evangelista, S/N - Marcos Freire I, Nossa Sra. do Socorro - SE, 49156-026","https://www.google.com/maps/place/CEO+Mugival+Messias+Santos+Centro+De+Especialidades+Odontol%C3%B3gicas/@-10.8479809,-37.0666812,3a,90y,142.83h,87.61t/data=!3m7!1e1!3m5!1sDYIG7msXI-hUjwgXvGiiPQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D2.3882275880117447%26panoid%3DDYIG7msXI-hUjwgXvGiiPQ%26yaw%3D142.83447927630476!7i16384!8i8192!4m10!1m2!2m1!1sAv.+A+Cinco,+s%2Fn,+Nossa+Sra.+do+Socorro!3m6!1s0x7054cf3e3ad3229:0x4b7afae53fa19112!8m2!3d-10.848113!4d-37.0666088!15sCidBdi4gQSBDaW5jbywgcy9uLCBOb3NzYSBTcmEuIGRvIFNvY29ycm-SAQhob3NwaXRhbOABAA!16s%2Fg%2F11f4qm68pq?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",1,"Rua José Carlos Magno, Marcos Freire, Nossa Senhora do Socorro - SE"
Mugival Messias Santos,"Av. São Marcos Evangelista, S/N - Marcos Freire I, Nossa Sra. do Socorro - SE, 49156-026","https://www.google.com/maps/place/CEO+Mugival+Messias+Santos+Centro+De+Especialidades+Odontol%C3%B3gicas/@-10.8479809,-37.0666812,3a,90y,142.83h,87.61t/data=!3m7!1e1!3m5!1sDYIG7msXI-hUjwgXvGiiPQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D2.3882275880117447%26panoid%3DDYIG7msXI-hUjwgXvGiiPQ%26yaw%3D142.83447927630476!7i16384!8i8192!4m10!1m2!2m1!1sAv.+A+Cinco,+s%2Fn,+Nossa+Sra.+do+Socorro!3m6!1s0x7054cf3e3ad3229:0x4b7afae53fa19112!8m2!3d-10.848113!4d-37.0666088!15sCidBdi4gQSBDaW5jbywgcy9uLCBOb3NzYSBTcmEuIGRvIFNvY29ycm-SAQhob3NwaXRhbOABAA!16s%2Fg%2F11f4qm68pq?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",1,"Rua França, Marcos Freire, Nossa Senhora do Socorro - SE"
Mugival Messias Santos,"Av. São Marcos Evangelista, S/N - Marcos Freire I, Nossa Sra. do Socorro - SE, 49156-026","https://www.google.com/maps/place/CEO+Mugival+Messias+Santos+Centro+De+Especialidades+Odontol%C3%B3gicas/@-10.8479809,-37.0666812,3a,90y,142.83h,87.61t/data=!3m7!1e1!3m5!1sDYIG7msXI-hUjwgXvGiiPQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D2.3882275880117447%26panoid%3DDYIG7msXI-hUjwgXvGiiPQ%26yaw%3D142.83447927630476!7i16384!8i8192!4m10!1m2!2m1!1sAv.+A+Cinco,+s%2Fn,+Nossa+Sra.+do+Socorro!3m6!1s0x7054cf3e3ad3229:0x4b7afae53fa19112!8m2!3d-10.848113!4d-37.0666088!15sCidBdi4gQSBDaW5jbywgcy9uLCBOb3NzYSBTcmEuIGRvIFNvY29ycm-SAQhob3NwaXRhbOABAA!16s%2Fg%2F11f4qm68pq?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",1,"Avenida Coletora C, Marcos Freire, Nossa Senhora do Socorro - SE"
Mugival Messias Santos,"Av. São Marcos Evangelista, S/N - Marcos Freire I, Nossa Sra. do Socorro - SE, 49156-026","https://www.google.com/maps/place/CEO+Mugival+Messias+Santos+Centro+De+Especialidades+Odontol%C3%B3gicas/@-10.8479809,-37.0666812,3a,90y,142.83h,87.61t/data=!3m7!1e1!3m5!1sDYIG7msXI-hUjwgXvGiiPQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D2.3882275880117447%26panoid%3DDYIG7msXI-hUjwgXvGiiPQ%26yaw%3D142.83447927630476!7i16384!8i8192!4m10!1m2!2m1!1sAv.+A+Cinco,+s%2Fn,+Nossa+Sra.+do+Socorro!3m6!1s0x7054cf3e3ad3229:0x4b7afae53fa19112!8m2!3d-10.848113!4d-37.0666088!15sCidBdi4gQSBDaW5jbywgcy9uLCBOb3NzYSBTcmEuIGRvIFNvY29ycm-SAQhob3NwaXRhbOABAA!16s%2Fg%2F11f4qm68pq?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",1,"Rua A 28, Marcos Freire, Nossa Senhora do Socorro - SE"
