ubs_referencia,localizacao_ubs,link_map_ubs,micro_area,endereco_completo
Parque Nossa Senhora de Fátima,"R. F - Sobrado, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/TwPdUwVHfmgcFter8,2,"Avenida Ferrea, Sobrado, Nossa Senhora do Socorro - SE"
Parque Nossa Senhora de Fátima,"R. F - Sobrado, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/TwPdUwVHfmgcFter8,2,"Rua B, Sobrado, Nossa Senhora do Socorro - SE"
Parque Nossa Senhora de Fátima,"R. F - Sobrado, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/TwPdUwVHfmgcFter8,2,"Rua C, Sobrado, Nossa Senhora do Socorro - SE"
Parque Nossa Senhora de Fátima,"R. F - Sobrado, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/TwPdUwVHfmgcFter8,2,"Rua D, Sobrado, Nossa Senhora do Socorro - SE"
Parque Nossa Senhora de Fátima,"R. F - Sobrado, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/TwPdUwVHfmgcFter8,2,"Rua E, Sobrado, Nossa Senhora do Socorro - SE"
Parque Nossa Senhora de Fátima,"R. F - Sobrado, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/TwPdUwVHfmgcFter8,2,"Estrada Velha do Sobrado, Sobrado, Nossa Senhora do Socorro - SE"
Parque Nossa Senhora de Fátima,"R. F - Sobrado, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/TwPdUwVHfmgcFter8,2,"Rua F, Sobrado, Nossa Senhora do Socorro - SE"
Parque Nossa Senhora de Fátima,"R. F - Sobrado, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/TwPdUwVHfmgcFter8,2,"Rua G, Sobrado, Nossa Senhora do Socorro - SE"
Parque Nossa Senhora de Fátima,"R. F - Sobrado, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/TwPdUwVHfmgcFter8,2,"Travessa G, Sobrado, Nossa Senhora do Socorro - SE"
Parque Nossa Senhora de Fátima,"R. F - Sobrado, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/TwPdUwVHfmgcFter8,2,"Rua I, Sobrado, Nossa Senhora do Socorro - SE"
Parque Nossa Senhora de Fátima,"R. F - Sobrado, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/TwPdUwVHfmgcFter8,3,"Avenida Ferrea, Sobrado, Nossa Senhora do Socorro - SE"
Parque Nossa Senhora de Fátima,"R. F - Sobrado, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/TwPdUwVHfmgcFter8,3,"Rua A, Sobrado, Nossa Senhora do Socorro - SE"
Parque Nossa Senhora de Fátima,"R. F - Sobrado, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/TwPdUwVHfmgcFter8,3,"Rua B, Sobrado, Nossa Senhora do Socorro - SE"
Parque Nossa Senhora de Fátima,"R. F - Sobrado, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/TwPdUwVHfmgcFter8,3,"Rua C, Sobrado, Nossa Senhora do Socorro - SE"
Parque Nossa Senhora de Fátima,"R. F - Sobrado, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/TwPdUwVHfmgcFter8,3,"Estrada Velha do Sobrado, Sobrado, Nossa Senhora do Socorro - SE"
