ubs_referencia	localizacao_ubs	link_map_ubs	micro_area	endereco_completo
Santa Cecilia	Av. Saneamento, 489 - Lot. Santa Cecilia, Nossa Sra. do Socorro - SE, 49160-000	https://www.google.com/maps/place/U.B.S+Santa+Cec%C3%ADlia/@-10.8912281,-37.1297385,17z/data=!3m1!4b1!4m6!3m5!1s0x71aadcccda4e855:0x492b031d4b087abb!8m2!3d-10.8912334!4d-37.1271636!16s%2Fg%2F11gxw22cfq?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D	3	Rua 167, Santa Cecília, Nossa Senhora do Socorro - SE
Santa Cecilia	Av. Saneamento, 489 - Lot. Santa Cecilia, Nossa Sra. do Socorro - SE, 49160-000	https://www.google.com/maps/place/U.B.S+Santa+Cec%C3%ADlia/@-10.8912281,-37.1297385,17z/data=!3m1!4b1!4m6!3m5!1s0x71aadcccda4e855:0x492b031d4b087abb!8m2!3d-10.8912334!4d-37.1271636!16s%2Fg%2F11gxw22cfq?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D	3	Rua 133, Santa Cecília, Nossa Senhora do Socorro - SE
Santa Cecilia	Av. Saneamento, 489 - Lot. Santa Cecilia, Nossa Sra. do Socorro - SE, 49160-000	https://www.google.com/maps/place/U.B.S+Santa+Cec%C3%ADlia/@-10.8912281,-37.1297385,17z/data=!3m1!4b1!4m6!3m5!1s0x71aadcccda4e855:0x492b031d4b087abb!8m2!3d-10.8912334!4d-37.1271636!16s%2Fg%2F11gxw22cfq?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D	3	Rua 168, Santa Cecília, Nossa Senhora do Socorro - SE
Santa Cecilia	Av. Saneamento, 489 - Lot. Santa Cecilia, Nossa Sra. do Socorro - SE, 49160-000	https://www.google.com/maps/place/U.B.S+Santa+Cec%C3%ADlia/@-10.8912281,-37.1297385,17z/data=!3m1!4b1!4m6!3m5!1s0x71aadcccda4e855:0x492b031d4b087abb!8m2!3d-10.8912334!4d-37.1271636!16s%2Fg%2F11gxw22cfq?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D	3	Rua 169, Santa Cecília, Nossa Senhora do Socorro - SE
Santa Cecilia	Av. Saneamento, 489 - Lot. Santa Cecilia, Nossa Sra. do Socorro - SE, 49160-000	https://www.google.com/maps/place/U.B.S+Santa+Cec%C3%ADlia/@-10.8912281,-37.1297385,17z/data=!3m1!4b1!4m6!3m5!1s0x71aadcccda4e855:0x492b031d4b087abb!8m2!3d-10.8912334!4d-37.1271636!16s%2Fg%2F11gxw22cfq?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D	3	Rua 170, Santa Cecília, Nossa Senhora do Socorro - SE
Santa Cecilia	Av. Saneamento, 489 - Lot. Santa Cecilia, Nossa Sra. do Socorro - SE, 49160-000	https://www.google.com/maps/place/U.B.S+Santa+Cec%C3%ADlia/@-10.8912281,-37.1297385,17z/data=!3m1!4b1!4m6!3m5!1s0x71aadcccda4e855:0x492b031d4b087abb!8m2!3d-10.8912334!4d-37.1271636!16s%2Fg%2F11gxw22cfq?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D	4	Avenida 02, Santa Cecília, Nossa Senhora do Socorro - SE
Santa Cecilia	Av. Saneamento, 489 - Lot. Santa Cecilia, Nossa Sra. do Socorro - SE, 49160-000	https://www.google.com/maps/place/U.B.S+Santa+Cec%C3%ADlia/@-10.8912281,-37.1297385,17z/data=!3m1!4b1!4m6!3m5!1s0x71aadcccda4e855:0x492b031d4b087abb!8m2!3d-10.8912334!4d-37.1271636!16s%2Fg%2F11gxw22cfq?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D	4	Rua 140, Santa Cecília, Nossa Senhora do Socorro - SE
Santa Cecilia	Av. Saneamento, 489 - Lot. Santa Cecilia, Nossa Sra. do Socorro - SE, 49160-000	https://www.google.com/maps/place/U.B.S+Santa+Cec%C3%ADlia/@-10.8912281,-37.1297385,17z/data=!3m1!4b1!4m6!3m5!1s0x71aadcccda4e855:0x492b031d4b087abb!8m2!3d-10.8912334!4d-37.1271636!16s%2Fg%2F11gxw22cfq?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D	4	Rua 142, Santa Cecília, Nossa Senhora do Socorro - SE
Santa Cecilia	Av. Saneamento, 489 - Lot. Santa Cecilia, Nossa Sra. do Socorro - SE, 49160-000	https://www.google.com/maps/place/U.B.S+Santa+Cec%C3%ADlia/@-10.8912281,-37.1297385,17z/data=!3m1!4b1!4m6!3m5!1s0x71aadcccda4e855:0x492b031d4b087abb!8m2!3d-10.8912334!4d-37.1271636!16s%2Fg%2F11gxw22cfq?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D	4	Rua 143, Santa Cecília, Nossa Senhora do Socorro - SE
Santa Cecilia	Av. Saneamento, 489 - Lot. Santa Cecilia, Nossa Sra. do Socorro - SE, 49160-000	https://www.google.com/maps/place/U.B.S+Santa+Cec%C3%ADlia/@-10.8912281,-37.1297385,17z/data=!3m1!4b1!4m6!3m5!1s0x71aadcccda4e855:0x492b031d4b087abb!8m2!3d-10.8912334!4d-37.1271636!16s%2Fg%2F11gxw22cfq?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D	4	Travessa Itacanema, Santa Cecília, Nossa Senhora do Socorro - SE
Santa Cecilia	Av. Saneamento, 489 - Lot. Santa Cecilia, Nossa Sra. do Socorro - SE, 49160-000	https://www.google.com/maps/place/U.B.S+Santa+Cec%C3%ADlia/@-10.8912281,-37.1297385,17z/data=!3m1!4b1!4m6!3m5!1s0x71aadcccda4e855:0x492b031d4b087abb!8m2!3d-10.8912334!4d-37.1271636!16s%2Fg%2F11gxw22cfq?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D	4	Rua 144, Santa Cecília, Nossa Senhora do Socorro - SE
Santa Cecilia	Av. Saneamento, 489 - Lot. Santa Cecilia, Nossa Sra. do Socorro - SE, 49160-000	https://www.google.com/maps/place/U.B.S+Santa+Cec%C3%ADlia/@-10.8912281,-37.1297385,17z/data=!3m1!4b1!4m6!3m5!1s0x71aadcccda4e855:0x492b031d4b087abb!8m2!3d-10.8912334!4d-37.1271636!16s%2Fg%2F11gxw22cfq?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D	4	Rua 155, Santa Cecília, Nossa Senhora do Socorro - SE
Santa Cecilia	Av. Saneamento, 489 - Lot. Santa Cecilia, Nossa Sra. do Socorro - SE, 49160-000	https://www.google.com/maps/place/U.B.S+Santa+Cec%C3%ADlia/@-10.8912281,-37.1297385,17z/data=!3m1!4b1!4m6!3m5!1s0x71aadcccda4e855:0x492b031d4b087abb!8m2!3d-10.8912334!4d-37.1271636!16s%2Fg%2F11gxw22cfq?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D	4	Avenida Saneamento, Santa Cecília, Nossa Senhora do Socorro - SE
Santa Cecilia	Av. Saneamento, 489 - Lot. Santa Cecilia, Nossa Sra. do Socorro - SE, 49160-000	https://www.google.com/maps/place/U.B.S+Santa+Cec%C3%ADlia/@-10.8912281,-37.1297385,17z/data=!3m1!4b1!4m6!3m5!1s0x71aadcccda4e855:0x492b031d4b087abb!8m2!3d-10.8912334!4d-37.1271636!16s%2Fg%2F11gxw22cfq?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D	4	Rua 153, Santa Cecília, Nossa Senhora do Socorro - SE
Santa Cecilia	Av. Saneamento, 489 - Lot. Santa Cecilia, Nossa Sra. do Socorro - SE, 49160-000	https://www.google.com/maps/place/U.B.S+Santa+Cec%C3%ADlia/@-10.8912281,-37.1297385,17z/data=!3m1!4b1!4m6!3m5!1s0x71aadcccda4e855:0x492b031d4b087abb!8m2!3d-10.8912334!4d-37.1271636!16s%2Fg%2F11gxw22cfq?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D	4	Rua 152, Santa Cecília, Nossa Senhora do Socorro - SE
Santa Cecilia	Av. Saneamento, 489 - Lot. Santa Cecilia, Nossa Sra. do Socorro - SE, 49160-000	https://www.google.com/maps/place/U.B.S+Santa+Cec%C3%ADlia/@-10.8912281,-37.1297385,17z/data=!3m1!4b1!4m6!3m5!1s0x71aadcccda4e855:0x492b031d4b087abb!8m2!3d-10.8912334!4d-37.1271636!16s%2Fg%2F11gxw22cfq?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D	4	Rua 151, Santa Cecília, Nossa Senhora do Socorro - SE
Santa Cecilia	Av. Saneamento, 489 - Lot. Santa Cecilia, Nossa Sra. do Socorro - SE, 49160-000	https://www.google.com/maps/place/U.B.S+Santa+Cec%C3%ADlia/@-10.8912281,-37.1297385,17z/data=!3m1!4b1!4m6!3m5!1s0x71aadcccda4e855:0x492b031d4b087abb!8m2!3d-10.8912334!4d-37.1271636!16s%2Fg%2F11gxw22cfq?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D	4	Sítio Floresta, Santa Cecília, Nossa Senhora do Socorro - SE
Santa Cecilia	Av. Saneamento, 489 - Lot. Santa Cecilia, Nossa Sra. do Socorro - SE, 49160-000	https://www.google.com/maps/place/U.B.S+Santa+Cec%C3%ADlia/@-10.8912281,-37.1297385,17z/data=!3m1!4b1!4m6!3m5!1s0x71aadcccda4e855:0x492b031d4b087abb!8m2!3d-10.8912334!4d-37.1271636!16s%2Fg%2F11gxw22cfq?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D	4	Rua Antônio Maurício, Santa Cecília, Nossa Senhora do Socorro - SE
Santa Cecilia	Av. Saneamento, 489 - Lot. Santa Cecilia, Nossa Sra. do Socorro - SE, 49160-000	https://www.google.com/maps/place/U.B.S+Santa+Cec%C3%ADlia/@-10.8912281,-37.1297385,17z/data=!3m1!4b1!4m6!3m5!1s0x71aadcccda4e855:0x492b031d4b087abb!8m2!3d-10.8912334!4d-37.1271636!16s%2Fg%2F11gxw22cfq?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D	4	Rua 137, Santa Cecília, Nossa Senhora do Socorro - SE
Santa Cecilia	Av. Saneamento, 489 - Lot. Santa Cecilia, Nossa Sra. do Socorro - SE, 49160-000	https://www.google.com/maps/place/U.B.S+Santa+Cec%C3%ADlia/@-10.8912281,-37.1297385,17z/data=!3m1!4b1!4m6!3m5!1s0x71aadcccda4e855:0x492b031d4b087abb!8m2!3d-10.8912334!4d-37.1271636!16s%2Fg%2F11gxw22cfq?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D	4	Rua 138, Santa Cecília, Nossa Senhora do Socorro - SE
Santa Cecilia	Av. Saneamento, 489 - Lot. Santa Cecilia, Nossa Sra. do Socorro - SE, 49160-000	https://www.google.com/maps/place/U.B.S+Santa+Cec%C3%ADlia/@-10.8912281,-37.1297385,17z/data=!3m1!4b1!4m6!3m5!1s0x71aadcccda4e855:0x492b031d4b087abb!8m2!3d-10.8912334!4d-37.1271636!16s%2Fg%2F11gxw22cfq?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D	4	Rua 139, Santa Cecília, Nossa Senhora do Socorro - SE
Santa Cecilia	Av. Saneamento, 489 - Lot. Santa Cecilia, Nossa Sra. do Socorro - SE, 49160-000	https://www.google.com/maps/place/U.B.S+Santa+Cec%C3%ADlia/@-10.8912281,-37.1297385,17z/data=!3m1!4b1!4m6!3m5!1s0x71aadcccda4e855:0x492b031d4b087abb!8m2!3d-10.8912334!4d-37.1271636!16s%2Fg%2F11gxw22cfq?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D	4	Rua 141, Santa Cecília, Nossa Senhora do Socorro - SE
Santa Cecilia	Av. Saneamento, 489 - Lot. Santa Cecilia, Nossa Sra. do Socorro - SE, 49160-000	https://www.google.com/maps/place/U.B.S+Santa+Cec%C3%ADlia/@-10.8912281,-37.1297385,17z/data=!3m1!4b1!4m6!3m5!1s0x71aadcccda4e855:0x492b031d4b087abb!8m2!3d-10.8912334!4d-37.1271636!16s%2Fg%2F11gxw22cfq?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D	4	Rua 146, Santa Cecília, Nossa Senhora do Socorro - SE
