ubs_referencia,localizacao_ubs,link_map_ubs,Microarea,Endereco_Completo,,,,Microarea,Endereco_Completo
US Suziniete Gomes,"Av. David Jonathan Barbosa, S/N - Distrito Industrial da Taiçoca, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/place/US+Suzinete+Gomes+da+Silva+Dias/@-10.838773,-37.0753159,17z/data=!4m14!1m7!3m6!1s0x7054d2e4686ad5f:0xecd24f5649037f15!2sUS+Suzinete+Gomes+da+Silva+Dias!8m2!3d-10.8387783!4d-37.072741!16s%2Fg%2F11qnwqfm8p!3m5!1s0x7054d2e4686ad5f:0xecd24f5649037f15!8m2!3d-10.8387783!4d-37.072741!16s%2Fg%2F11qnwqfm8p?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",1,"Rua Novo Horizonte, Novo Horizonte, Nossa Senhora do Socorro - SE",,,,,
US Suziniete Gomes,"Av. David Jonathan Barbosa, S/N - Distrito Industrial da Taiçoca, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/place/US+Suzinete+Gomes+da+Silva+Dias/@-10.838773,-37.0753159,17z/data=!4m14!1m7!3m6!1s0x7054d2e4686ad5f:0xecd24f5649037f15!2sUS+Suzinete+Gomes+da+Silva+Dias!8m2!3d-10.8387783!4d-37.072741!16s%2Fg%2F11qnwqfm8p!3m5!1s0x7054d2e4686ad5f:0xecd24f5649037f15!8m2!3d-10.8387783!4d-37.072741!16s%2Fg%2F11qnwqfm8p?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",1,"Rua Nova Esperança, Novo Horizonte, Nossa Senhora do Socorro - SE",,,,,
US Suziniete Gomes,"Av. David Jonathan Barbosa, S/N - Distrito Industrial da Taiçoca, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/place/US+Suzinete+Gomes+da+Silva+Dias/@-10.838773,-37.0753159,17z/data=!4m14!1m7!3m6!1s0x7054d2e4686ad5f:0xecd24f5649037f15!2sUS+Suzinete+Gomes+da+Silva+Dias!8m2!3d-10.8387783!4d-37.072741!16s%2Fg%2F11qnwqfm8p!3m5!1s0x7054d2e4686ad5f:0xecd24f5649037f15!8m2!3d-10.8387783!4d-37.072741!16s%2Fg%2F11qnwqfm8p?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",1,"Rua do Limão, Novo Horizonte, Nossa Senhora do Socorro - SE",,,,,
US Suziniete Gomes,"Av. David Jonathan Barbosa, S/N - Distrito Industrial da Taiçoca, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/place/US+Suzinete+Gomes+da+Silva+Dias/@-10.838773,-37.0753159,17z/data=!4m14!1m7!3m6!1s0x7054d2e4686ad5f:0xecd24f5649037f15!2sUS+Suzinete+Gomes+da+Silva+Dias!8m2!3d-10.8387783!4d-37.072741!16s%2Fg%2F11qnwqfm8p!3m5!1s0x7054d2e4686ad5f:0xecd24f5649037f15!8m2!3d-10.8387783!4d-37.072741!16s%2Fg%2F11qnwqfm8p?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",1,"Rua do Jumbo, Novo Horizonte, Nossa Senhora do Socorro - SE",,,,,
US Suziniete Gomes,"Av. David Jonathan Barbosa, S/N - Distrito Industrial da Taiçoca, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/place/US+Suzinete+Gomes+da+Silva+Dias/@-10.838773,-37.0753159,17z/data=!4m14!1m7!3m6!1s0x7054d2e4686ad5f:0xecd24f5649037f15!2sUS+Suzinete+Gomes+da+Silva+Dias!8m2!3d-10.8387783!4d-37.072741!16s%2Fg%2F11qnwqfm8p!3m5!1s0x7054d2e4686ad5f:0xecd24f5649037f15!8m2!3d-10.8387783!4d-37.072741!16s%2Fg%2F11qnwqfm8p?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",1,"Rua N. S. de Lourdes, Novo Horizonte, Nossa Senhora do Socorro - SE",,,,,
US Suziniete Gomes,"Av. David Jonathan Barbosa, S/N - Distrito Industrial da Taiçoca, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/place/US+Suzinete+Gomes+da+Silva+Dias/@-10.838773,-37.0753159,17z/data=!4m14!1m7!3m6!1s0x7054d2e4686ad5f:0xecd24f5649037f15!2sUS+Suzinete+Gomes+da+Silva+Dias!8m2!3d-10.8387783!4d-37.072741!16s%2Fg%2F11qnwqfm8p!3m5!1s0x7054d2e4686ad5f:0xecd24f5649037f15!8m2!3d-10.8387783!4d-37.072741!16s%2Fg%2F11qnwqfm8p?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",1,"Rua Frei Damião, Novo Horizonte, Nossa Senhora do Socorro - SE",,,,,
US Suziniete Gomes,"Av. David Jonathan Barbosa, S/N - Distrito Industrial da Taiçoca, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/place/US+Suzinete+Gomes+da+Silva+Dias/@-10.838773,-37.0753159,17z/data=!4m14!1m7!3m6!1s0x7054d2e4686ad5f:0xecd24f5649037f15!2sUS+Suzinete+Gomes+da+Silva+Dias!8m2!3d-10.8387783!4d-37.072741!16s%2Fg%2F11qnwqfm8p!3m5!1s0x7054d2e4686ad5f:0xecd24f5649037f15!8m2!3d-10.8387783!4d-37.072741!16s%2Fg%2F11qnwqfm8p?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",1,"Rua Emiliano Moura, Novo Horizonte, Nossa Senhora do Socorro - SE",,,,,
US Suziniete Gomes,"Av. David Jonathan Barbosa, S/N - Distrito Industrial da Taiçoca, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/place/US+Suzinete+Gomes+da+Silva+Dias/@-10.838773,-37.0753159,17z/data=!4m14!1m7!3m6!1s0x7054d2e4686ad5f:0xecd24f5649037f15!2sUS+Suzinete+Gomes+da+Silva+Dias!8m2!3d-10.8387783!4d-37.072741!16s%2Fg%2F11qnwqfm8p!3m5!1s0x7054d2e4686ad5f:0xecd24f5649037f15!8m2!3d-10.8387783!4d-37.072741!16s%2Fg%2F11qnwqfm8p?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",1,"Rua São José, Novo Horizonte, Nossa Senhora do Socorro - SE",,,,,
US Suziniete Gomes,"Av. David Jonathan Barbosa, S/N - Distrito Industrial da Taiçoca, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/place/US+Suzinete+Gomes+da+Silva+Dias/@-10.838773,-37.0753159,17z/data=!4m14!1m7!3m6!1s0x7054d2e4686ad5f:0xecd24f5649037f15!2sUS+Suzinete+Gomes+da+Silva+Dias!8m2!3d-10.8387783!4d-37.072741!16s%2Fg%2F11qnwqfm8p!3m5!1s0x7054d2e4686ad5f:0xecd24f5649037f15!8m2!3d-10.8387783!4d-37.072741!16s%2Fg%2F11qnwqfm8p?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",1,"Rua São Lucas, Novo Horizonte, Nossa Senhora do Socorro - SE",,,,,
US Suziniete Gomes,"Av. David Jonathan Barbosa, S/N - Distrito Industrial da Taiçoca, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/place/US+Suzinete+Gomes+da+Silva+Dias/@-10.838773,-37.0753159,17z/data=!4m14!1m7!3m6!1s0x7054d2e4686ad5f:0xecd24f5649037f15!2sUS+Suzinete+Gomes+da+Silva+Dias!8m2!3d-10.8387783!4d-37.072741!16s%2Fg%2F11qnwqfm8p!3m5!1s0x7054d2e4686ad5f:0xecd24f5649037f15!8m2!3d-10.8387783!4d-37.072741!16s%2Fg%2F11qnwqfm8p?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",1,"Rua Central, Novo Horizonte, Nossa Senhora do Socorro - SE",,,,,
