ubs_referencia,localizacao_ubs,link_map_ubs,Microarea,Endereco_Completo
Tancredo Neves ,"Av. Simão Dias, 829-877 - João Alves, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/place/UBS+Tancredo+Neves/@-10.8597675,-37.084447,17z/data=!4m14!1m7!3m6!1s0x7054cdfe85917ef:0xdaccb4189c910161!2sUBS+Tancredo+Neves!8m2!3d-10.8597728!4d-37.0818721!16s%2Fg%2F11ddwvchvw!3m5!1s0x7054cdfe85917ef:0xdaccb4189c910161!8m2!3d-10.8597728!4d-37.0818721!16s%2Fg%2F11ddwvchvw?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",1,"Rua 10 (Capela), João Alves, Nossa Senhora do Socorro - SE"
Tancredo Neves ,"Av. Simão Dias, 829-877 - João Alves, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/place/UBS+Tancredo+Neves/@-10.8597675,-37.084447,17z/data=!4m14!1m7!3m6!1s0x7054cdfe85917ef:0xdaccb4189c910161!2sUBS+Tancredo+Neves!8m2!3d-10.8597728!4d-37.0818721!16s%2Fg%2F11ddwvchvw!3m5!1s0x7054cdfe85917ef:0xdaccb4189c910161!8m2!3d-10.8597728!4d-37.0818721!16s%2Fg%2F11ddwvchvw?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",1,"Rua 07, João Alves, Nossa Senhora do Socorro - SE"
Tancredo Neves ,"Av. Simão Dias, 829-877 - João Alves, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/place/UBS+Tancredo+Neves/@-10.8597675,-37.084447,17z/data=!4m14!1m7!3m6!1s0x7054cdfe85917ef:0xdaccb4189c910161!2sUBS+Tancredo+Neves!8m2!3d-10.8597728!4d-37.0818721!16s%2Fg%2F11ddwvchvw!3m5!1s0x7054cdfe85917ef:0xdaccb4189c910161!8m2!3d-10.8597728!4d-37.0818721!16s%2Fg%2F11ddwvchvw?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",2,"Tv 10, João Alves, Nossa Senhora do Socorro - SE"
Tancredo Neves ,"Av. Simão Dias, 829-877 - João Alves, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/place/UBS+Tancredo+Neves/@-10.8597675,-37.084447,17z/data=!4m14!1m7!3m6!1s0x7054cdfe85917ef:0xdaccb4189c910161!2sUBS+Tancredo+Neves!8m2!3d-10.8597728!4d-37.0818721!16s%2Fg%2F11ddwvchvw!3m5!1s0x7054cdfe85917ef:0xdaccb4189c910161!8m2!3d-10.8597728!4d-37.0818721!16s%2Fg%2F11ddwvchvw?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",2,"Rua 10 (Capela), João Alves, Nossa Senhora do Socorro - SE"
Tancredo Neves ,"Av. Simão Dias, 829-877 - João Alves, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/place/UBS+Tancredo+Neves/@-10.8597675,-37.084447,17z/data=!4m14!1m7!3m6!1s0x7054cdfe85917ef:0xdaccb4189c910161!2sUBS+Tancredo+Neves!8m2!3d-10.8597728!4d-37.0818721!16s%2Fg%2F11ddwvchvw!3m5!1s0x7054cdfe85917ef:0xdaccb4189c910161!8m2!3d-10.8597728!4d-37.0818721!16s%2Fg%2F11ddwvchvw?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",2,"Avenida J (Aracaju), João Alves, Nossa Senhora do Socorro - SE"
Tancredo Neves ,"Av. Simão Dias, 829-877 - João Alves, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/place/UBS+Tancredo+Neves/@-10.8597675,-37.084447,17z/data=!4m14!1m7!3m6!1s0x7054cdfe85917ef:0xdaccb4189c910161!2sUBS+Tancredo+Neves!8m2!3d-10.8597728!4d-37.0818721!16s%2Fg%2F11ddwvchvw!3m5!1s0x7054cdfe85917ef:0xdaccb4189c910161!8m2!3d-10.8597728!4d-37.0818721!16s%2Fg%2F11ddwvchvw?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",2,"Avenida Principal (Socorro), João Alves, Nossa Senhora do Socorro - SE"
Tancredo Neves ,"Av. Simão Dias, 829-877 - João Alves, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/place/UBS+Tancredo+Neves/@-10.8597675,-37.084447,17z/data=!4m14!1m7!3m6!1s0x7054cdfe85917ef:0xdaccb4189c910161!2sUBS+Tancredo+Neves!8m2!3d-10.8597728!4d-37.0818721!16s%2Fg%2F11ddwvchvw!3m5!1s0x7054cdfe85917ef:0xdaccb4189c910161!8m2!3d-10.8597728!4d-37.0818721!16s%2Fg%2F11ddwvchvw?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",2,"Tv Nossa Senhora do Socorro, João Alves, Nossa Senhora do Socorro - SE"
Tancredo Neves ,"Av. Simão Dias, 829-877 - João Alves, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/place/UBS+Tancredo+Neves/@-10.8597675,-37.084447,17z/data=!4m14!1m7!3m6!1s0x7054cdfe85917ef:0xdaccb4189c910161!2sUBS+Tancredo+Neves!8m2!3d-10.8597728!4d-37.0818721!16s%2Fg%2F11ddwvchvw!3m5!1s0x7054cdfe85917ef:0xdaccb4189c910161!8m2!3d-10.8597728!4d-37.0818721!16s%2Fg%2F11ddwvchvw?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",3,"Avenida K, João Alves, Nossa Senhora do Socorro - SE"
Tancredo Neves ,"Av. Simão Dias, 829-877 - João Alves, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/place/UBS+Tancredo+Neves/@-10.8597675,-37.084447,17z/data=!4m14!1m7!3m6!1s0x7054cdfe85917ef:0xdaccb4189c910161!2sUBS+Tancredo+Neves!8m2!3d-10.8597728!4d-37.0818721!16s%2Fg%2F11ddwvchvw!3m5!1s0x7054cdfe85917ef:0xdaccb4189c910161!8m2!3d-10.8597728!4d-37.0818721!16s%2Fg%2F11ddwvchvw?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",3,"Rua 12, João Alves, Nossa Senhora do Socorro - SE"
Tancredo Neves ,"Av. Simão Dias, 829-877 - João Alves, Nossa Sra. do Socorro - SE, 49160-000","https://www.google.com/maps/place/UBS+Tancredo+Neves/@-10.8597675,-37.084447,17z/data=!4m14!1m7!3m6!1s0x7054cdfe85917ef:0xdaccb4189c910161!2sUBS+Tancredo+Neves!8m2!3d-10.8597728!4d-37.0818721!16s%2Fg%2F11ddwvchvw!3m5!1s0x7054cdfe85917ef:0xdaccb4189c910161!8m2!3d-10.8597728!4d-37.0818721!16s%2Fg%2F11ddwvchvw?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",3,"Rua 14, João Alves, Nossa Senhora do Socorro - SE"
