ubs_referencia,localizacao_ubs,link_map_ubs,micro_area,endereco_completo,latitude,longitude,metodo,nota
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Rua 2 de Fevereiro, Guajará, Nossa Senhora do Socorro - SE",-10.8936322,-37.1566223,google_api,encontrado_GEOMETRIC_CENTER
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Rua 3 de Fevereiro, Guajará, Nossa Senhora do Socorro - SE",-10.8928082,-37.1583871,google_api,encontrado_GEOMETRIC_CENTER
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Rua 12 de Fevereiro, Guajará, Nossa Senhora do Socorro - SE",-10.8879406,-37.1566218,google_api,encontrado_GEOMETRIC_CENTER
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Rua 11 de Fevereiro, Guajará, Nossa Senhora do Socorro - SE",-10.8989331,-37.155646,manual,coordenada_bairro_verificar
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Rua 13 de Fevereiro, Guajará, Nossa Senhora do Socorro - SE",-10.8916973,-37.1551488,google_api,encontrado_GEOMETRIC_CENTER
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Rua 10 de Fevereiro, Guajará, Nossa Senhora do Socorro - SE",-10.8889933,-37.1574216,google_api,encontrado_GEOMETRIC_CENTER
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Travessa Quissamã, Guajará, Nossa Senhora do Socorro - SE",-10.8894428,-37.1782132,google_api,encontrado_GEOMETRIC_CENTER
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Rua Nossa Senhora de Fátima, Guajará, Nossa Senhora do Socorro - SE",-10.8947878,-37.1572447,google_api,encontrado_GEOMETRIC_CENTER
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Rua 1 de Fevereiro, Guajará, Nossa Senhora do Socorro - SE",-10.8949473,-37.1609309,google_api,encontrado_GEOMETRIC_CENTER
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Rua das Orquídeas, Guajará, Nossa Senhora do Socorro - SE",-10.8929146,-37.1529254,google_api,encontrado_GEOMETRIC_CENTER
