endereco_original,latitude,longitude,location_type,formatted_address,metodo
"Rua 12 de Fevereiro, Guajará, Nossa Senhora do Socorro - SE",-10.8879406,-37.1566218,GEOMETRIC_CENTER,"R. 12 de Fevereiro - Santa Inês, Nossa Sra. do Socorro - SE, Brasil",google_api
"Rua 1 de Fevereiro, Guajará, Nossa Senhora do Socorro - SE",-10.8949473,-37.1609309,GEOMETRIC_CENTER,"R. 1 - Guajará, Nossa Sra. do Socorro - SE, Brasil",google_api
"Rua do Tanque, Guajará, Nossa Senhora do Socorro - SE",-10.8989307,-37.1556814,APPROXIMATE,"Guajará, Nossa Sra. do Socorro - SE, Brasil",google_api
"Rua da Fazenda, Guajará, Nossa Senhora do Socorro - SE",-10.8989307,-37.1556814,APPROXIMATE,"Guajará, Nossa Sra. do Socorro - SE, Brasil",google_api
"Rua C (São Benedito), Guajará, Nossa Senhora do Socorro - SE",-10.8876823,-37.1589899,GEOMETRIC_CENTER,"R. C - Guajará, Nossa Sra. do Socorro - SE, Brasil",google_api
"Rua D (São Benedito), Guajará, Nossa Senhora do Socorro - SE",-10.8901066,-37.1601854,GEOMETRIC_CENTER,"R. D - Guajará, Nossa Sra. do Socorro - SE, Brasil",google_api
"Rua E (São Benedito), Guajará, Nossa Senhora do Socorro - SE",-10.8993287,-37.1586914,GEOMETRIC_CENTER,"R. e - Guajará, Nossa Sra. do Socorro - SE, Brasil",google_api
"Rua 12 de Janeiro, Guajará, Nossa Senhora do Socorro - SE",-10.8465636,-37.069999,GEOMETRIC_CENTER,"R. 12, Nossa Sra. do Socorro - SE, 49156-074, Brasil",google_api
"Rua 14 de Janeiro, Guajará, Nossa Senhora do Socorro - SE",-10.8450307,-37.0684573,GEOMETRIC_CENTER,"R. 14 - Marcos Freire I, Nossa Sra. do Socorro - SE, 49156-080, Brasil",google_api
"Praça 16 de Janeiro, Guajará, Nossa Senhora do Socorro - SE",-10.8411434,-37.0945635,ROOFTOP,"R. Orlando Vieira Santos, 174 - Taiçoca de Fora, Nossa Sra. do Socorro - SE, 49160-000, Brasil",google_api
"Rua Existente, Guajará, Nossa Senhora do Socorro - SE",-10.9516479,-37.0927638,GEOMETRIC_CENTER,"R. Existente - Jabotiana, Aracaju - SE, 49096, Brasil",google_api
"Rua Otto, Guajará, Nossa Senhora do Socorro - SE",-10.8989307,-37.1556814,APPROXIMATE,"Guajará, Nossa Sra. do Socorro - SE, Brasil",google_api
"Rua Profeta Eliseu, Guajará, Nossa Senhora do Socorro - SE",-10.9000521,-37.1594478,GEOMETRIC_CENTER,"R. Profeta Eliseu - Guajará, Nossa Sra. do Socorro - SE, Brasil",google_api
"Rua Jorge Amado, Guajará, Nossa Senhora do Socorro - SE",-10.9026273,-37.1441411,GEOMETRIC_CENTER,"R. Jorge Cardoso Lima - Parque dos Faróis, Nossa Sra. do Socorro - SE, Brasil",google_api
"Rua Joze Aloisio da Silva, Guajará, Nossa Senhora do Socorro - SE",-10.8989307,-37.1556814,APPROXIMATE,"Guajará, Nossa Sra. do Socorro - SE, Brasil",google_api
"Rua Antonio Torres, Guajará, Nossa Senhora do Socorro - SE",-10.9186794,-37.0669665,GEOMETRIC_CENTER,"R. Dep. Antônio Tôrres, Aracaju - SE, Brasil",google_api
"Travessa Jucelino Emilio, Guajará, Nossa Senhora do Socorro - SE",-10.8995163,-37.1546577,GEOMETRIC_CENTER,"R. Jocelino Emílio de Carvalho - Guajará, Nossa Sra. do Socorro - SE, Brasil",google_api
