ubs_referencia,localizacao_ubs,link_map_ubs,micro_area,endereco_completo,latitude,longitude,fonte,confianca
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Rua 12 de Fevereiro, Guajará, Nossa Senhora do Socorro - SE",,,,
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Travessa Quissamã, Guajará, Nossa Senhora do Socorro - SE",,,,
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Rua 1 de Fevereiro, Guajará, Nossa Senhora do Socorro - SE",,,,
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Avenida Chesf 01, Guajará, Nossa Senhora do Socorro - SE",,,,
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Avenida Quissamã, Guajará, Nossa Senhora do Socorro - SE",,,,
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Avenida Chesf, Guajará, Nossa Senhora do Socorro - SE",,,,
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Rua do Tanque, Guajará, Nossa Senhora do Socorro - SE",,,,
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Rua da Fazenda, Guajará, Nossa Senhora do Socorro - SE",,,,
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Rua C (São Benedito), Guajará, Nossa Senhora do Socorro - SE",,,,
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Rua D (São Benedito), Guajará, Nossa Senhora do Socorro - SE",,,,
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Rua E (São Benedito), Guajará, Nossa Senhora do Socorro - SE",,,,
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Rua 10 de Janeiro, Guajará, Nossa Senhora do Socorro - SE",,,,
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Rua 11 de Janeiro, Guajará, Nossa Senhora do Socorro - SE",,,,
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Rua 12 de Janeiro, Guajará, Nossa Senhora do Socorro - SE",,,,
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Rua 13 de Janeiro, Guajará, Nossa Senhora do Socorro - SE",,,,
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Rua 14 de Janeiro, Guajará, Nossa Senhora do Socorro - SE",,,,
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Praça 16 de Janeiro, Guajará, Nossa Senhora do Socorro - SE",,,,
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,9,"Rua Existente, Guajará, Nossa Senhora do Socorro - SE",,,,
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,9,"Travessa Padre Cícero, Guajará, Nossa Senhora do Socorro - SE",,,,
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,9,"Rua Otto, Guajará, Nossa Senhora do Socorro - SE",,,,
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,9,"Rua Profeta Eliseu, Guajará, Nossa Senhora do Socorro - SE",,,,
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,9,"Rua Jorge Amado, Guajará, Nossa Senhora do Socorro - SE",,,,
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,9,"Rua J. Emílio de Carvalho, Guajará, Nossa Senhora do Socorro - SE",,,,
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,9,"Rua Joze Aloisio da Silva, Guajará, Nossa Senhora do Socorro - SE",,,,
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,9,"Rua Antonio Torres, Guajará, Nossa Senhora do Socorro - SE",,,,
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,9,"Travessa Jucelino Emilio, Guajará, Nossa Senhora do Socorro - SE",,,,
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,9,"Rua Ezequiel Cardoso, Guajará, Nossa Senhora do Socorro - SE",,,,
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,9,"Rua Projetada, Guajará, Nossa Senhora do Socorro - SE",,,,
