ubs_referencia,localizacao_ubs,link_map_ubs,micro_area,endereco_completo,latitude,longitude,fonte,confianca
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Rua 2 de Fevereiro, Guajará, Nossa Senhora do Socorro - SE",-10.8935653,-37.1567935,nominatim,alta
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Rua 3 de Fevereiro, Guajará, Nossa Senhora do Socorro - SE",-10.8929786,-37.1569307,nominatim,alta
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Rua 11 de Fevereiro, Guajará, Nossa Senhora do Socorro - SE",-10.8885037,-37.1566402,nominatim,alta
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Rua 13 de Fevereiro, Guajará, Nossa Senhora do Socorro - SE",-10.8915044,-37.1551109,nominatim,alta
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Rua 10 de Fevereiro, Guajará, Nossa Senhora do Socorro - SE",-10.8891285,-37.1562122,nominatim,alta
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Rua Nossa Senhora de Fátima, Guajará, Nossa Senhora do Socorro - SE",-10.8864123,-37.1466637,nominatim,alta
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Rua das Orquídeas, Guajará, Nossa Senhora do Socorro - SE",-10.8929259,-37.1528867,nominatim,alta
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Rua A1, Guajará, Nossa Senhora do Socorro - SE",-10.8937765,-37.1485438,nominatim,alta
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Rua BC, Guajará, Nossa Senhora do Socorro - SE",-10.9023022,-37.1430783,nominatim,alta
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Rua D, Guajará, Nossa Senhora do Socorro - SE",-10.8925425,-37.1440291,nominatim,alta
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Rua E, Guajará, Nossa Senhora do Socorro - SE",-10.8884847,-37.1603487,nominatim,alta
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Rua M, Guajará, Nossa Senhora do Socorro - SE",-10.9001411,-37.1608161,nominatim,alta
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Rua P, Guajará, Nossa Senhora do Socorro - SE",-10.8984355,-37.1609873,nominatim,alta
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Vila Ney, Guajará, Nossa Senhora do Socorro - SE",-10.8872284,-37.1592662,nominatim,alta
Muciano Guajara,"Av. Principal, 355 - Guajará, Nossa Sra. do Socorro - SE, 49160-000",https://maps.app.goo.gl/skDfKoLb2iqzoAuMA,32,"Avenida Perimetral, Guajará, Nossa Senhora do Socorro - SE",-10.8904332,-37.1578482,nominatim,alta
